State,Destination Count,STATE,Airport Count
CA,753324,CA,26
TX,745515,TX,25
FL,438402,FL,17
GA,416251,GA,8
IL,414827,IL,8
NY,289544,NY,13
CO,250555,CO,11
NC,221079,NC,8
AZ,201425,AZ,4
MI,198109,MI,14
VA,190256,VA,9
NV,156944,NV,3
MN,155117,MN,8
PA,128317,PA,6
NJ,121851,NJ,3
WA,116356,WA,5
MO,115960,MO,5
UT,114999,UT,5
TN,112181,TN,5
MA,112074,MA,5
HI,108142,HI,5
MD,100319,MD,1
OH,96854,OH,5
LA,75664,LA,7
KY,67428,KY,4
OR,67041,OR,6
WI,64653,WI,8
IN,46886,IN,4
OK,45231,OK,3
AK,39199,AK,19
SC,37703,SC,5
AL,35851,AL,5
NM,32062,NM,4
AR,31896,AR,4
PR,27952,PR,3
NE,26231,NE,3
IA,25399,IA,5
CT,22258,CT,1
ND,19114,ND,8
ID,18352,ID,6
MT,17139,MT,8
RI,15390,RI,1
MS,15369,MS,6
KS,13821,KS,5
SD,12204,SD,4
WY,10456,WY,7
NH,9965,NH,1
ME,7809,ME,2
VT,5623,VT,1
VI,4746,VI,2
WV,3694,WV,3
GU,366,GU,1
DE,348,DE,1
AS,106,AS,1
