Hour,Average Departure Delay
0,4.7314721381320775
1,2.470995893223819
2,5.025698324022346
3,13.631732168850073
4,5.423954372623574
5,1.379301290551274
6,1.749727332218425
7,2.627093714705284
8,4.310532553567065
9,5.669356129307586
10,6.840855014991779
11,7.816952382809263
12,8.978811981807937
13,10.286753787832911
14,11.908463977940459
15,12.668669525722638
16,13.741319222698658
17,14.61970702573767
18,16.348868796057765
19,16.212222222222223
20,16.52743583508004
21,15.44219910846954
22,10.105344613035795
23,8.78555347686844
