State,Origin Count,STATE,Airport Count
CA,753335,CA,26
TX,745518,TX,25
FL,438388,FL,17
GA,416254,GA,8
IL,414734,IL,8
NY,289494,NY,13
CO,250656,CO,11
NC,221069,NC,8
AZ,201422,AZ,4
MI,198199,MI,14
VA,190056,VA,9
NV,156950,NV,3
MN,155108,MN,8
PA,128341,PA,6
NJ,122010,NJ,3
WA,116355,WA,5
MO,115973,MO,5
UT,114988,UT,5
TN,112175,TN,5
MA,112081,MA,5
HI,108147,HI,5
MD,100331,MD,1
OH,96869,OH,5
LA,75665,LA,7
KY,67430,KY,4
OR,67035,OR,6
WI,64631,WI,8
IN,46868,IN,4
OK,45234,OK,3
AK,39194,AK,19
SC,37697,SC,5
AL,35859,AL,5
NM,32058,NM,4
AR,31888,AR,4
PR,27946,PR,3
NE,26239,NE,3
IA,25397,IA,5
CT,22258,CT,1
ND,19121,ND,8
ID,18359,ID,6
MT,17137,MT,8
RI,15390,RI,1
MS,15367,MS,6
KS,13816,KS,5
SD,12205,SD,4
WY,10455,WY,7
NH,9966,NH,1
ME,7807,ME,2
VT,5619,VT,1
VI,4747,VI,2
WV,3692,WV,3
GU,366,GU,1
DE,349,DE,1
AS,106,AS,1
