ORIGIN,LATITUDE,LONGITUDE,Average Arrival Delay
ABE,40.65236278,-75.44040167,5.167170191339376
ABI,32.41132,-99.68189722,5.625893865261573
ABQ,35.04022222,-106.6091944,4.95866657229811
ABR,45.44905556,-98.42183333,-1.548342541436464
ABY,31.535515,-84.19447333,5.232125367286973
ACK,41.25305194,-70.06018139,10.095490716180372
ACT,31.61128833,-97.23051917,5.746341463414634
ACV,40.97811528,-124.1086189,15.255537190082645
ADK,51.87796389,-176.6460306,-2.9183673469387754
ADQ,57.74996778,-152.4938553,0.7027463651050081
AEX,31.32737167,-92.54855611,7.210485933503836
AGS,33.369955,-81.96449611,6.203067689229743
AKN,58.67680167,-156.6492175,-3.5584415584415585
ALB,42.74811944,-73.80297861,2.9907882241215575
ALO,42.55708139,-92.40034361,9.433697347893915
AMA,35.2193725,-101.7059272,8.378359656414519
ANC,61.17432028,-149.9961856,-1.4766559274832087
APN,45.0780675,-83.56028583,-5.512315270935961
ART,43.99192222,-76.02173861,9.26465661641541
ASE,39.22316,-106.868845,10.05359565807327
ATL,33.64044444,-84.42694444,4.101151124295101
ATW,44.25740806,-88.51947556,5.268501529051988
AUS,30.19453278,-97.66987194,4.304725970454691
AVL,35.43619444,-82.54180556,7.279528506134231
AVP,41.33814944,-75.7242675,1.8982597054886212
AZO,42.234875,-85.5520575,-1.7269432138542087
BDL,41.93887417,-72.68322833,3.3313652798755093
BET,60.77977639,-161.8379975,0.27405857740585776
BFL,35.43359806,-119.0567681,5.383755791768874
BGM,42.20848278,-75.97961361,-2.81447963800905
BGR,44.80744444,-68.82813889,-2.516990291262136
BHM,33.56294306,-86.75354972,6.008672974284328
BIL,45.8076625,-108.5428611,-0.5197201017811705
BIS,46.77411111,-100.7467222,2.5356654823722327
BJI,47.50942417,-94.93372333,-0.6930555555555555
BLI,48.79275,-122.5375278,-0.8058035714285714
BMI,40.47798556,-88.91595278,6.535096002518099
BNA,36.12447667,-86.67818222,7.088751448238261
BOI,43.56444444,-116.2227778,3.986166558351128
BOS,42.3643475,-71.00517917,5.7556140254709565
BPT,29.95083333,-94.02069444,6.857142857142857
BQK,31.25902778,-81.46630556,8.586653386454183
BQN,18.49486111,-67.12944444,3.360544217687075
BRD,46.39785806,-94.1372275,-3.190315315315315
BRO,25.90683333,-97.42586111,3.8750517170045513
BRW,71.2854475,-156.7660019,8.469483568075118
BTM,45.95479528,-112.49746,-2.5710344827586207
BTR,30.53316083,-91.14963444,10.319124686573968
BTV,44.47300361,-73.1503125,8.047951497336028
BUF,42.94052472,-78.73216667,6.073386012104909
BUR,34.20061917,-118.3584969,1.5055848261327713
BWI,39.17540167,-76.66819833,8.963640761044823
BZN,45.77690139,-111.1530072,-0.18334606569900688
CAE,33.93884,-81.11953944,11.164704150721224
CAK,40.91631194,-81.44246556,5.937859478966956
CDC,37.70097028,-113.098575,0.5560975609756098
CDV,60.49183389,-145.4776503,-2.153954802259887
CEC,41.78015722,-124.2365333,20.67111111111111
CHA,35.03526833,-85.20378778,6.901533146188728
CHO,38.13863889,-78.45286111,7.996
CHS,32.89864639,-80.04050583,7.509931316131428
CIC,39.79538278,-121.8584231,15.375241779497099
CID,41.88458833,-91.71087222,8.068547389260084
CIU,46.25075194,-84.47238528,0.1437403400309119
CLD,33.127231,-117.278727,4.761341222879684
CLE,41.41089417,-81.84939667,5.464195226030137
CLL,30.58858944,-96.36382417,2.1430188679245283
CLT,35.21401111,-80.94312583,7.328632548506649
CMH,39.99798528,-82.89188278,7.547325826882477
CMI,40.03925,-88.27805556,11.935996368588288
CMX,47.16841722,-88.48906083,14.733983286908078
COD,44.52019417,-109.0237961,1.8737623762376239
COS,38.80580556,-104.70025,7.645178823785194
COU,38.81809306,-92.21962917,13.97117296222664
CPR,42.90835556,-106.4644661,4.7
CRP,27.77036083,-97.50121528,6.76609820640988
CRW,38.37315083,-81.59318972,8.885346756152126
CSG,32.51633333,-84.93886111,5.228200371057514
CVG,39.04614278,-84.6621725,5.596888295863649
CWA,44.77761917,-89.66677944,7.87219451371571
CYS,41.1557225,-104.8118381,
