Hour,TAXI_IN,TAXI_OUT
0,6.200468802321688,14.706217211742382
1,6.271728016359918,13.612985685071575
2,7.210584343991179,12.456449834619626
3,7.295389048991354,13.048991354466859
4,7.201138519924099,13.229601518026566
5,7.053509506928779,14.167618433773768
6,7.309595304636879,15.024057032295646
7,7.35457390211096,15.679221343489857
8,6.780206435944141,16.28594515656494
9,6.438366419497948,15.828881572530795
10,6.343505832540847,15.369851426714519
11,6.532646296282922,14.928616994898979
12,6.721299631818983,14.603635632375102
13,6.633373072852334,14.839444379406487
14,6.724689709633678,14.839303619578036
15,6.625853227409134,15.725721404710665
16,6.730759571523756,15.431249039003639
17,6.913361486637618,15.781730622981328
18,7.06801555176528,15.439596381541785
19,6.388563468722029,15.719397430072451
20,5.837145155293172,15.464445338169567
21,5.5664024548866795,14.755838584830032
22,5.578727002722547,15.707233314082997
23,6.598489378442172,15.044783634933124
