ORIGIN_STATE,Flight Count
AK,39194
AL,35859
AR,31888
AS,106
AZ,201422
CA,753335
CO,250656
CT,22258
DE,349
FL,438388
GA,416254
GU,366
HI,108147
IA,25397
ID,18359
IL,414734
IN,46868
KS,13816
KY,67430
LA,75665
MA,112081
MD,100331
ME,7807
MI,198199
MN,155108
MO,115973
MS,15367
MT,17137
NC,221069
ND,19121
NE,26239
NH,9966
NJ,122010
NM,32058
NV,156950
NY,289494
OH,96869
OK,45234
OR,67035
PA,128341
PR,27946
RI,15390
SC,37697
SD,12205
TN,112175
TX,745518
UT,114988
VA,190056
VI,4747
VT,5619
WA,116355
WI,64631
WV,3692
WY,10455
