OP_CARRIER,TAXI_IN,TAXI_OUT
9E,6.48100613075116,19.003484989939366
AA,7.912221992931653,15.534881602406436
AS,5.474554584052267,14.298462612202167
B6,5.837523833946157,17.79255264148368
DL,7.284748300581711,18.435268395457616
EV,6.582372551743298,15.266177460544734
F9,7.297862773104798,13.786726974554304
FL,7.800088530169242,13.602240848050037
HA,6.366004482195723,10.178817475029742
MQ,6.87954031350528,15.211167062621486
OO,6.430960519446516,15.715109066845052
UA,7.462020411310444,16.815954195153004
US,6.788104458827323,18.231666476709194
VX,7.981499308630739,13.997917140706772
WN,5.522348023886003,10.837195234119628
YV,6.647329728502292,16.05125530435276
