Hour,Average Departure Delay
0,4.3882655130458295
1,1.9306321595248197
2,2.7841945288753798
3,13.582914572864322
4,3.0599078341013826
5,0.8521878748017178
6,1.23630381198051
7,2.129003995929612
8,3.5638620432914854
9,4.719565547832576
10,5.803003599868531
11,6.577335146021134
12,7.682911762704946
13,8.741200607428517
14,10.270897118307529
15,11.080031064891106
16,12.359404761904761
17,13.184025367656238
18,14.057181766222254
19,14.522112564979784
20,14.634941814591587
21,13.207537340348185
22,9.773237108094998
23,7.881767849095474
