OP_CARRIER,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
AA,3.957711076619793,0.7528214664358688,2.836285073850964,0.005198541427158,3.4688748977527024
AS,1.7839720767888307,0.18321815008726003,1.5420314136125655,0.020335078534031412,1.734499127399651
B6,4.971129171226975,0.35200149034767014,4.669138159886361,0.017106396851640546,5.616803669981138
CO,3.2422573647464468,0.4984006111585458,4.459063407699127,0.030798959069535625,2.568414215155588
DL,2.9994201325058913,0.4224382674162448,2.5182164756393965,0.0031488312859761173,2.797601569343516
EV,5.482922247581518,0.5552564110408801,1.9622343647700224,0.01304236090289973,6.632424477907838
F9,2.3212863705972433,0.17152785958298974,3.4716927788903287,0.0,3.712875485922959
FL,1.3823382342266777,0.14206273035946157,2.5845383939156874,0.0,3.929571501157342
HA,2.1194839951286255,0.04086542075746869,0.01323089413781179,0.003428004390251237,1.03936191005999
MQ,3.358072774020457,0.9657570845676597,3.2302967972723717,0.00108881560561176,3.6512481135766586
OO,2.281825608142981,0.22699447313643525,2.3223576499379637,0.010966568798684764,4.8712227117520195
UA,2.7144931558125576,0.3038806316917179,3.251915146273935,0.006279485508134935,4.421028854655403
US,2.8410073722715365,0.3204965809222567,3.2465068075295664,0.03213026551447871,2.613111323995286
WN,2.33524562390213,0.34453554303997,1.144323920068565,0.027547383353886123,4.976486625376212
XE,4.199695207169194,0.3645652813257273,3.4478340021437583,0.016989648224350857,5.5427038089381595
YV,2.600584588700093,0.55362477114316,1.2509170333729482,0.012661805800918639,3.9263289756849646
