OP_CARRIER,ARR_DELAY
B6,10.09966356883515
EV,9.467173449229554
XE,9.434778874619838
CO,6.438250759305375
F9,6.330347622094263
MQ,6.283954251114288
AA,5.293833041295382
OO,5.069177305560221
WN,4.281819721518477
US,3.516778389544036
UA,2.72137329421263
YV,2.400026341784656
FL,2.2240225085777148
DL,1.8533690183779838
HA,0.2081297871057234
AS,-2.5182867532028244
