State,Destination Count,STATE,Airport Count
CA,725710,CA,26
TX,681515,TX,25
FL,448129,FL,17
IL,415581,IL,8
GA,410513,GA,8
CO,273222,CO,11
NY,259858,NY,13
AZ,216427,AZ,4
NC,193321,NC,8
VA,188930,VA,9
NV,168594,NV,3
PA,129498,PA,6
UT,121528,UT,5
TN,119854,TN,5
WA,115334,WA,5
MO,114102,MO,5
NJ,112217,NJ,3
MA,109658,MA,5
MI,109391,MI,14
MN,106432,MN,8
MD,104359,MD,1
HI,101364,HI,5
OH,96803,OH,5
OR,66823,OR,6
WI,61696,WI,8
LA,61393,LA,7
KY,49915,KY,4
OK,39527,OK,3
AL,39233,AL,5
AK,39115,AK,19
IN,39013,IN,4
NM,36529,NM,4
SC,32743,SC,5
AR,30662,AR,4
PR,24238,PR,3
NE,24097,NE,3
CT,22547,CT,1
ID,22414,ID,6
IA,18121,IA,5
MS,17260,MS,6
RI,17025,RI,1
MT,16833,MT,8
KS,11931,KS,5
ND,11835,ND,8
NH,11488,NH,1
SD,10839,SD,4
WY,10154,WY,7
ME,6158,ME,2
VT,4084,VT,1
WV,4067,WV,3
VI,3614,VI,2
GU,367,GU,1
