Hour,TAXI_IN,TAXI_OUT
0,6.401611820013432,14.664741437206178
1,6.025311115798355,14.047880194051888
2,6.374057315233785,13.093514328808446
3,6.944625407166124,12.947882736156352
4,6.6626139817629175,12.623100303951368
5,7.152553280084794,13.552352651701556
6,7.2440384576496255,14.566140371769263
7,7.261248854396194,15.337758126474661
8,6.620229622892999,15.819429407320794
9,6.249698425290979,15.376482063097036
10,6.2173525059872174,14.906444330321504
11,6.453885842472582,14.581370887337986
12,6.621048888033221,13.948807012195937
13,6.546950913907556,14.412600877596734
14,6.607224512140143,14.418987892058993
15,6.555118293273241,15.16053481522402
16,6.7028310521666,15.144688494058531
17,7.024862419459079,15.316136581735572
18,6.9753911538395625,15.331148355697222
19,6.467539849386859,15.557682004476511
20,5.749029984504028,15.066899713142446
21,5.57264313690232,15.021381329407335
22,5.69115833826856,17.050543198609724
23,6.524933965566623,15.158514463927697
