State,Origin Count,STATE,Airport Count
CA,725791,CA,26
TX,681516,TX,25
FL,448131,FL,17
IL,415395,IL,8
GA,410341,GA,8
CO,273154,CO,11
NY,259885,NY,13
AZ,216511,AZ,4
NC,193334,NC,8
VA,188953,VA,9
NV,168601,NV,3
PA,129494,PA,6
UT,121491,UT,5
TN,119882,TN,5
WA,115345,WA,5
MO,114039,MO,5
NJ,112213,NJ,3
MA,109658,MA,5
MI,109478,MI,14
MN,106389,MN,8
MD,104361,MD,1
HI,101304,HI,5
OH,96886,OH,5
OR,66803,OR,6
WI,61762,WI,8
LA,61402,LA,7
KY,49940,KY,4
OK,39616,OK,3
AL,39234,AL,5
AK,39111,AK,19
IN,39018,IN,4
NM,36525,NM,4
SC,32750,SC,5
AR,30665,AR,4
PR,24224,PR,3
NE,24116,NE,3
CT,22549,CT,1
ID,22318,ID,6
IA,18099,IA,5
MS,17259,MS,6
RI,17029,RI,1
MT,16826,MT,8
KS,11984,KS,5
ND,11830,ND,8
NH,11492,NH,1
SD,10885,SD,4
WY,10150,WY,7
ME,6155,ME,2
VT,4086,VT,1
WV,4067,WV,3
VI,3612,VI,2
GU,367,GU,1
