ORIGIN,LATITUDE,LONGITUDE,Average Arrival Delay
ABE,40.65236278,-75.44040167,5.985197368421052
ABI,32.41132,-99.68189722,3.939558149228845
ABQ,35.04022222,-106.6091944,2.7789435817495054
ABY,31.535515,-84.19447333,13.732785200411099
ACK,41.25305194,-70.06018139,20.190243902439025
ACT,31.61128833,-97.23051917,-0.30666666666666664
ACV,40.97811528,-124.1086189,17.116912235746316
ACY,39.45758333,-74.57716667,-0.7676056338028169
ADK,51.87796389,-176.6460306,9.631578947368421
ADQ,57.74996778,-152.4938553,-0.7201986754966887
AEX,31.32737167,-92.54855611,6.353195430688484
AGS,33.369955,-81.96449611,11.40308019118428
AKN,58.67680167,-156.6492175,-13.367088607594937
ALB,42.74811944,-73.80297861,1.5345911949685536
AMA,35.2193725,-101.7059272,5.48830975428146
ANC,61.17432028,-149.9961856,-2.2336333650136972
ART,43.99192222,-76.02173861,8.547945205479452
ASE,39.22316,-106.868845,4.557434991163848
ATL,33.64044444,-84.42694444,5.212135957699274
ATW,44.25740806,-88.51947556,2.8233597692862293
AUS,30.19453278,-97.66987194,2.4634612627252306
AVL,35.43619444,-82.54180556,8.83280490382583
AVP,41.33814944,-75.7242675,8.28122866894198
AZO,42.234875,-85.5520575,2.0834386852085967
BDL,41.93887417,-72.68322833,1.200063961988304
BET,60.77977639,-161.8379975,0.21890547263681592
BFL,35.43359806,-119.0567681,4.219722222222222
BGM,42.20848278,-75.97961361,42.666666666666664
BGR,44.80744444,-68.82813889,3.7707865168539327
BHM,33.56294306,-86.75354972,3.522515795519816
BIL,45.8076625,-108.5428611,-2.449476365694877
BIS,46.77411111,-100.7467222,1.967885206696276
BLI,48.79275,-122.5375278,-10.725036179450072
BMI,40.47798556,-88.91595278,4.378714372346877
BNA,36.12447667,-86.67818222,4.959516125915477
BOI,43.56444444,-116.2227778,0.9744920017293558
BOS,42.3643475,-71.00517917,6.580763283465986
BPT,29.95083333,-94.02069444,18.0
BQK,31.25902778,-81.46630556,9.192796610169491
BQN,18.49486111,-67.12944444,3.0069444444444446
BRO,25.90683333,-97.42586111,1.8623619371282922
BRW,71.2854475,-156.7660019,3.992433795712484
BTM,45.95479528,-112.49746,-6.559757942511347
BTR,30.53316083,-91.14963444,8.508835758835758
BTV,44.47300361,-73.1503125,7.813768302080658
BUF,42.94052472,-78.73216667,4.366012463956841
BUR,34.20061917,-118.3584969,1.252602548166563
BWI,39.17540167,-76.66819833,5.526691154262108
BZN,45.77690139,-111.1530072,-2.027586206896552
CAE,33.93884,-81.11953944,9.019000703729768
CAK,40.91631194,-81.44246556,5.338325221515038
CDC,37.70097028,-113.098575,-8.124809741248097
CDV,60.49183389,-145.4776503,-5.446197991391679
CEC,41.78015722,-124.2365333,17.4181626187962
CHA,35.03526833,-85.20378778,7.583058823529412
CHO,38.13863889,-78.45286111,3.482809070958303
CHS,32.89864639,-80.04050583,4.280680535397517
CIC,39.79538278,-121.8584231,11.161048689138577
CID,41.88458833,-91.71087222,4.936480388753905
CLD,33.127231,-117.278727,6.792677345537758
CLE,41.41089417,-81.84939667,4.783361379890619
CLL,30.58858944,-96.36382417,-3.304054054054054
CLT,35.21401111,-80.94312583,7.104908481894814
CMH,39.99798528,-82.89188278,4.567383031117081
CMI,40.03925,-88.27805556,5.254954954954955
CMX,47.16841722,-88.48906083,5.941791044776119
COD,44.52019417,-109.0237961,2.9932497589199616
COS,38.80580556,-104.70025,5.926617971802276
CPR,42.90835556,-106.4644661,-1.7254118821767348
CRP,27.77036083,-97.50121528,3.53520935290919
CRW,38.37315083,-81.59318972,10.446599213041035
CSG,32.51633333,-84.93886111,10.060189573459716
CVG,39.04614278,-84.6621725,5.477179074604607
CWA,44.77761917,-89.66677944,7.01155676410605
CYS,41.1557225,-104.8118381,2.898016997167139
DAB,29.17991667,-81.05805556,5.878995433789954
DAL,32.84711389,-96.85177222,7.83334093916853
DAY,39.90237583,-84.219375,4.776775840068056
DBQ,42.40295944,-90.70916722,2.770877944325482
DCA,38.85208333,-77.03772222,4.056141651459854
DEN,39.85840806,-104.6670019,4.822335346248014
DFW,32.89595056,-97.0372,7.277464354101059
DHN,31.32133917,-85.44962889,12.226444972288203
DLG,59.0454125,-158.5033389,-4.935897435897436
DLH,46.84209028,-92.19364861,1.4211783439490446
DRO,37.15151667,-107.7537692,2.2953623188405796
DSM,41.53493306,-93.66068222,5.167567567567567
DTW,42.21205889,-83.34883583,3.305501736847536
EAU,44.86525722,-91.48507194,6.161668839634942
EGE,39.64256778,-106.9176953,-2.49137187230371
EKO,40.82492611,-115.7916964,-5.885714285714286
ELM,42.15991361,-76.89144333,-5.018541409147095
ELP,31.80666667,-106.3778056,3.7274642940763285
EUG,44.12326,-123.2186856,5.004850444624091
EVV,38.03799139,-87.53062667,5.258847320525784
EWN,35.07297222,-77.04294444,4.855555555555555
EWR,40.69249722,-74.16866056,9.916066022438631
EYW,24.55611111,-81.75955556,-1.386038186157518
FAI,64.8136775,-147.8596694,-3.215946843853821
FAR,46.91934889,-96.81498889,0.6231350156566586
FAT,36.77619444,-119.7181389,4.691149109595109
FAY,34.99147222,-78.88,12.2518837459634
FCA,48.31140472,-114.2550694,-8.078132927447996
FLG,35.13845472,-111.6712183,-3.5828468792096992
FLL,26.07258333,-80.15275,6.145772274900086
FLO,34.18536111,-79.72388889,20.5
FNT,42.96550333,-83.74345639,1.9836440955184822
FSD,43.58135111,-96.74170028,4.008764940239044
FSM,35.33659028,-94.36744111,0.532069970845481
FWA,40.97846583,-85.19514639,5.441393168117884
GCC,44.34889806,-105.5393614,-0.044585987261146494
GEG,47.61985556,-117.5338425,-1.792147196055991
GFK,47.949255,-97.17611111,9.014042126379138
GGG,32.38486111,-94.71171,0.85
GJT,39.1224125,-108.5267347,1.7258965579383674
GNV,29.69005556,-82.27177778,10.013904982618772
GPT,30.40728028,-89.07009278,6.201500938086304
GRB,44.48507333,-88.12959,4.469521867210514
GRI,40.96747222,-98.30861111,2.0833333333333335
GRK,31.06489778,-97.82779778,7.444241316270567
GRR,42.88081972,-85.52276778,5.885785345322365
GSO,36.09774694,-79.9372975,8.649565461171854
GSP,34.89566722,-82.21885833,6.258772406300923
GST,58.42438139,-135.7073814,-10.063492063492063
GTF,47.48200194,-111.3706853,-2.6686358754027926
GTR,33.45033444,-88.59136861,8.655937846836848
GUC,38.53396333,-106.9331817,0.298159509202454
GUM,13.48345,-144.7959825,9.96448087431694
HDN,40.48118028,-107.2176597,-1.2084669660038487
HLN,46.60681806,-111.9827503,-3.97480024585126
HNL,21.31869111,-157.9224072,2.534343633143082
HOB,32.68752778,-103.2170278,3.3868312757201644
HOU,29.64541861,-95.27888889,7.871665366614665
HPN,41.06695778,-73.70757444,7.573198980773685
HRL,26.22850611,-97.65439389,3.8298532148025637
HSV,34.6404475,-86.77310944,4.123687912563575
IAD,38.94453194,-77.45580972,7.835368460428579
IAH,29.98047222,-95.33972222,6.984945409631675
ICT,37.64995889,-97.43304583,4.336768747546133
IDA,43.51455556,-112.0701667,-4.084803256445047
ILM,34.27061111,-77.90255556,6.244474393530997
IND,39.71732917,-86.29438417,3.2524652168039982
IPL,32.83422028,-115.5787456,3.210970464135021
ISP,40.7952425,-73.10021194,-1.2232850505602624
ITO,19.72026306,-155.0484703,0.7482098494812217
IYK,35.65884306,-117.8295122,-1.0547486033519553
JAC,43.60732417,-110.7377389,0.6445783132530121
JAN,32.31116667,-90.07588889,6.200827113173291
JAX,30.49405556,-81.68786111,3.5863975362695264
JFK,40.63975111,-73.77892556,5.26945450554275
JNU,58.35496194,-134.5762764,-2.2474981693922382
KOA,19.73876583,-156.0456314,1.3277544154751892
KTN,55.35556861,-131.71374,-3.863266180882983
LAN,42.7787,-84.58735806,8.07920792079208
LAS,36.08036111,-115.1523333,2.8996095426664636
LAX,33.94253611,-118.4080744,3.9860946088233304
LBB,33.66363889,-101.8227778,3.963146609488073
LCH,30.1260975,-93.22340361,-2.5880681818181817
LEX,38.03697222,-84.60538889,6.19887323943662
LFT,30.20527972,-91.987655,5.51675589926631
LGA,40.77724306,-73.87260917,5.132063703719635
LGB,33.81772222,-118.1516111,2.3735774369124196
LIH,21.97598306,-159.3389581,1.8232069027503146
LIT,34.72939611,-92.22424556,5.107481432280659
LMT,42.15614361,-121.7332081,0.8562091503267973
LNK,40.85097222,-96.75925,6.825786977145321
LRD,27.54373861,-99.46154361,3.2935085623257665
LSE,43.87937972,-91.25653778,2.406417112299465
LWB,37.85830556,-80.39947222,6.17877094972067
LWS,46.37449806,-117.0153944,-2.7286356821589206
LYH,37.32668528,-79.20043056,20.5
MAF,31.94252778,-102.2019139,4.613491726771319
MBS,43.53291472,-84.07964722,7.533268101761252
MCI,39.29760528,-94.71390556,4.434845901093873
MCO,28.42888889,-81.31602778,5.235710424141151
MDT,40.19349528,-76.76340361,4.078922584290827
MDW,41.7859825,-87.75242444,5.476477401691802
