State,Destination Count,STATE,Airport Count
CA,718716,CA,26
TX,706506,TX,25
FL,446073,FL,17
GA,434204,GA,8
IL,417510,IL,8
NY,300328,NY,13
CO,271847,CO,11
AZ,209697,AZ,4
VA,200500,VA,9
NC,200453,NC,8
MI,196952,MI,14
NV,167346,NV,3
TN,155452,TN,5
PA,139493,PA,6
MN,132346,MN,8
UT,127680,UT,5
MO,116314,MO,5
WA,116030,WA,5
NJ,115031,NJ,3
MA,113869,MA,5
OH,110491,OH,5
MD,105563,MD,1
HI,105048,HI,5
KY,77923,KY,4
WI,72467,WI,8
OR,67944,OR,6
LA,65325,LA,7
IN,51435,IN,4
AL,45434,AL,5
OK,42311,OK,3
AK,38881,AK,19
AR,36542,AR,4
NM,35747,NM,4
SC,35669,SC,5
NE,27839,NE,3
PR,24313,PR,3
CT,23999,CT,1
ID,22594,ID,6
IA,21107,IA,5
MS,20294,MS,6
RI,18991,RI,1
MT,18280,MT,8
NH,13882,NH,1
KS,13588,KS,5
ND,12475,ND,8
SD,12233,SD,4
WY,10457,WY,7
ME,8346,ME,2
VT,6655,VT,1
WV,5162,WV,3
VI,3477,VI,2
GU,10,GU,1
