Month,DEP_DELAY,ARR_DELAY,CANCELLED
2010-01,7.985477235434054,3.4487771816761468,0.024593289881929978
2010-02,9.198863623942163,5.587012462788233,0.05442092412109173
2010-03,8.708465165762542,3.6548203787526474,0.014985562445608835
2010-04,5.0419159171721395,0.027926157856923702,0.006870950068955094
2010-05,8.569500322528926,4.744012975861082,0.012374089585018434
2010-06,11.44774115964041,8.001890736131525,0.01500669763833478
2010-07,11.200824256801628,7.570560934367397,0.014313545484488112
2010-08,7.761028974944184,3.501427004073852,0.009860914203194916
2010-09,4.538490589911066,0.3622180577579165,0.009036184654452422
2010-10,6.135885523343269,1.7877540123805833,0.009669690698215827
2010-11,5.7060945751923215,1.2657322887096212,0.007207307499630517
2010-12,12.690401453189423,9.177918359629729,0.03650844855779392
