Hour,TAXI_IN,TAXI_OUT
0,6.239989357456432,14.412265531462019
1,6.24004329004329,13.801082251082251
2,8.008937437934458,13.93545183714002
3,8.10427807486631,11.967914438502675
4,6.306763285024155,11.729468599033817
5,7.915249153020892,13.934394409937887
6,7.698640898033877,14.784996317704033
7,7.610932692523638,15.372010240977385
8,6.8130880316693885,16.15896825960378
9,6.317451809550157,15.901618369181824
10,6.417057517830859,15.233928562977127
11,6.613436211567912,14.615540110731535
12,6.9575319276119645,14.330591956177162
13,6.748083705175236,14.826736239881136
14,6.700724503065206,14.807612554036481
15,6.800116199813376,15.490750545158216
16,6.967564016488713,15.342232232882614
17,7.2234942757590845,15.491803240557678
18,7.017597327508673,15.55867403314917
19,6.343338152844378,16.274184237078337
20,5.671756610163877,15.793306613890246
21,5.5790714475835586,16.29816451467465
22,5.6634432319479915,16.90645460877641
23,6.708035855941615,14.610264953196891
