ORIGIN,Average Departure Delay
ABE,7.54594462141632
ABI,5.050861361771944
ABQ,7.104264257003838
ABR,52.5
ABY,7.925595238095238
ACK,10.388059701492537
ACT,-0.8571428571428571
ACV,24.14534120734908
ACY,4.539119804400978
ADK,4.183673469387755
ADQ,2.7234726688102895
AEX,6.365281311846197
AGS,12.365170068027211
AKN,-0.2631578947368421
ALB,6.900772532188841
ALO,4.962962962962963
AMA,8.558262400939244
ANC,1.108849212970688
ASE,9.70956434651978
ATL,10.154537542838318
ATW,4.776944065484311
AUS,6.302991604587915
AVL,9.258874458874459
AVP,9.22195589645254
AZO,2.3121801432958033
BDL,6.189132928331705
BET,5.053784860557769
BFL,7.432651834034877
BGM,0.49169435215946844
BGR,8.425434583714548
BHM,8.544475544380663
BIL,0.9408151870463428
BIS,4.125738850080602
BJI,-0.9861111111111112
BKG,5.978084415584416
BLI,0.14356435643564355
BMI,8.153548680618744
BNA,9.35515921187786
BOI,5.058730387217504
BOS,7.661902909811229
BPT,-4.0
BQK,6.843177189409369
BQN,4.852902374670185
BRO,3.5049423393739705
BRW,10.6944099378882
BTM,-0.866581956797967
BTR,8.838099527133528
BTV,10.615769712140175
BUF,7.843055954677943
BUR,6.557655520697835
BWI,10.916319894710357
BZN,3.101111111111111
CAE,11.085817419655333
CAK,8.166759745336758
CDC,2.9048387096774193
CDV,0.7668539325842697
CEC,24.834368530020704
CHA,8.730834752981261
CHO,5.818548387096774
CHS,9.386910649521926
CIC,13.902840059790732
CID,6.154684784326117
CLD,3.6835664335664338
CLE,5.296052987781768
CLL,5.993446920052425
CLT,6.780311892410833
CMH,7.64685931352598
CMI,6.2187635105923045
CMX,2.6816608996539792
COD,2.7501982553528945
COS,7.08589898989899
COU,6.1923076923076925
CPR,1.8592347661785547
CRP,3.9118873826903022
CRW,11.00206516750803
CSG,10.159104301708899
CVG,8.696201217105946
CWA,5.823966558290757
CYS,16.52920962199313
DAB,11.161639962299716
DAL,12.113750520936149
DAY,6.360500675627622
DBQ,6.285398230088496
DCA,5.43528291405444
DEN,8.641887201368077
DFW,9.269854345160592
DHN,11.177514792899409
DLG,4.972972972972973
DLH,4.712847222222222
DRO,2.5878378378378377
DSM,7.221660926138538
DTW,10.173059152647502
EAU,9.112808460634547
ECP,6.972472594397077
EGE,6.267984854859066
EKO,3.0292825768667644
ELM,5.578423871461362
ELP,7.388166061330513
ERI,7.016764459346186
EUG,8.753745126205622
