ORIGIN,LATITUDE,LONGITUDE,Average Arrival Delay
ABE,40.65236278,-75.44040167,3.8003442340791738
ABI,32.41132,-99.68189722,4.353207236842105
ABQ,35.04022222,-106.6091944,3.2410397794407246
ABR,45.44905556,-98.42183333,71.5
ABY,31.535515,-84.19447333,6.462301587301587
ACK,41.25305194,-70.06018139,4.188622754491018
ACT,31.61128833,-97.23051917,-5.25
ACV,40.97811528,-124.1086189,23.280540006585447
ACY,39.45758333,-74.57716667,2.273838630806846
ADK,51.87796389,-176.6460306,3.5408163265306123
ADQ,57.74996778,-152.4938553,3.143086816720257
AEX,31.32737167,-92.54855611,2.1833380561065456
AGS,33.369955,-81.96449611,4.7756881984191875
AKN,58.67680167,-156.6492175,0.40789473684210525
ALB,42.74811944,-73.80297861,-0.11264209438511884
ALO,42.55708139,-92.40034361,-1.4537037037037037
AMA,35.2193725,-101.7059272,6.61756040070713
ANC,61.17432028,-149.9961856,-0.4989354549529359
ASE,39.22316,-106.868845,8.98943661971831
ATL,33.64044444,-84.42694444,5.975812398118852
ATW,44.25740806,-88.51947556,2.600956066469383
AUS,30.19453278,-97.66987194,2.405251060401412
AVL,35.43619444,-82.54180556,5.981413930866771
AVP,41.33814944,-75.7242675,7.316297010607522
AZO,42.234875,-85.5520575,0.001709986320109439
BDL,41.93887417,-72.68322833,-0.52481241473397
BET,60.77977639,-161.8379975,4.808383233532934
BFL,35.43359806,-119.0567681,5.803684687405617
BGM,42.20848278,-75.97961361,-1.6384872080088988
BGR,44.80744444,-68.82813889,3.808080808080808
BHM,33.56294306,-86.75354972,4.517614015043321
BIL,45.8076625,-108.5428611,-0.5932345540956109
BIS,46.77411111,-100.7467222,4.601079622132254
BJI,47.50942417,-94.93372333,-2.138888888888889
BLI,48.79275,-122.5375278,-1.8564356435643565
BMI,40.47798556,-88.91595278,1.7800091282519397
BNA,36.12447667,-86.67818222,5.272367928062945
BOI,43.56444444,-116.2227778,2.0726446400230847
BOS,42.3643475,-71.00517917,2.4570484781385558
BPT,29.95083333,-94.02069444,-4.0
BQK,31.25902778,-81.46630556,5.5474006116207955
BQN,18.49486111,-67.12944444,1.126984126984127
BRO,25.90683333,-97.42586111,2.754335260115607
BRW,71.2854475,-156.7660019,10.256218905472636
BTM,45.95479528,-112.49746,-0.14777070063694267
BTR,30.53316083,-91.14963444,7.038834951456311
BTV,44.47300361,-73.1503125,6.096247448579055
BUF,42.94052472,-78.73216667,2.9518047495575583
BUR,34.20061917,-118.3584969,2.9605106317529897
BWI,39.17540167,-76.66819833,4.962967633051727
BZN,45.77690139,-111.1530072,3.2800357302367127
CAE,33.93884,-81.11953944,8.022464022464023
CAK,40.91631194,-81.44246556,5.886498599439776
CDC,37.70097028,-113.098575,5.348949919224555
CDV,60.49183389,-145.4776503,0.34978843441466856
CEC,41.78015722,-124.2365333,22.67887029288703
CHA,35.03526833,-85.20378778,5.54071382774097
CHO,38.13863889,-78.45286111,-4.012987012987013
CHS,32.89864639,-80.04050583,6.30272418647015
CIC,39.79538278,-121.8584231,14.525804038893044
CID,41.88458833,-91.71087222,3.951556543837357
CLD,33.127231,-117.278727,2.5551020408163265
CLE,41.41089417,-81.84939667,3.235123787461995
CLL,30.58858944,-96.36382417,4.96578947368421
CLT,35.21401111,-80.94312583,3.3094517866675295
CMH,39.99798528,-82.89188278,4.230138198652052
CMI,40.03925,-88.27805556,4.145084452143785
CMX,47.16841722,-88.48906083,-0.7660311958405546
COD,44.52019417,-109.0237961,4.196812749003984
COS,38.80580556,-104.70025,6.700818675528897
COU,38.81809306,-92.21962917,0.7375621890547264
CPR,42.90835556,-106.4644661,1.3731626363205311
CRP,27.77036083,-97.50121528,1.4296538210320053
CRW,38.37315083,-81.59318972,9.069815668202764
CSG,32.51633333,-84.93886111,6.363636363636363
CVG,39.04614278,-84.6621725,5.726927965660228
CWA,44.77761917,-89.66677944,2.6796838679683868
CYS,41.1557225,-104.8118381,20.389655172413793
