Hour,Average Departure Delay
0,5.1012048192771084
1,1.8766615820440182
2,5.170020120724346
3,8.341530054644808
4,7.426829268292683
5,1.1359032583621684
6,1.0843059369130597
7,2.1163075968963967
8,3.3057578985055267
9,4.477998479972509
10,5.648351410759973
11,6.384657346773248
12,7.473462122532301
13,8.584275597167206
14,10.044820544238526
15,11.08489375804524
16,12.010816263419088
17,13.03816786645875
18,13.941216536598528
19,14.455174845007779
20,14.816818856969247
21,12.067900005530667
22,8.220798812035214
23,7.637805366439728
