FL_DATE,Average Arrival Delay
2018-01-01,14.114067574497179
2018-01-02,10.816269213092989
2018-01-03,6.596771572504198
2018-01-04,2.3240770989872592
2018-01-05,12.426569131114586
2018-01-06,7.375184923136296
2018-01-07,10.719832735961768
2018-01-08,13.714093090987541
2018-01-09,5.120051586856566
2018-01-10,-1.7294104956582708
2018-01-11,4.8490705145084
2018-01-12,23.52861897746494
2018-01-13,0.2599295434136907
2018-01-14,-3.373361395069152
2018-01-15,10.734020949123558
2018-01-16,4.343912497758652
2018-01-17,23.880674993994717
2018-01-18,1.4908552985476062
2018-01-19,-5.699340681982075
2018-01-20,-9.077739471371595
2018-01-21,-0.44658363802559414
2018-01-22,-1.3810373735734762
2018-01-23,-0.9362152526321653
2018-01-24,-3.6590156933916944
2018-01-25,-5.4546111742228645
2018-01-26,-7.60624711494076
2018-01-27,-9.42249527410208
2018-01-28,-4.7271109133385245
2018-01-29,-0.21104690509656931
2018-01-30,-2.7985472954382877
2018-01-31,-9.348203353739686
2018-02-01,-4.366775210626971
2018-02-02,1.7935902720527617
2018-02-03,-7.058787340214642
2018-02-04,12.705651541041707
2018-02-05,5.81067857902574
2018-02-06,-2.8306210561275322
2018-02-07,18.19366296442465
2018-02-08,-2.0164423731476147
2018-02-09,10.37352206494588
2018-02-10,5.564445358563006
2018-02-11,18.670922401171303
2018-02-12,1.1659634317862166
2018-02-13,-6.884796667762798
2018-02-14,-5.2902011461962015
2018-02-15,6.915250714471291
2018-02-16,4.425166825548141
2018-02-17,3.114442295293359
2018-02-18,0.4106733852496564
2018-02-19,8.371756894790602
2018-02-20,13.842518837459634
2018-02-21,4.8267638635771934
2018-02-22,10.106723585912487
2018-02-23,6.400785261250378
2018-02-24,4.154853815972662
2018-02-25,4.039008792965627
2018-02-26,-1.8539965729261163
2018-02-27,-4.446681851123305
2018-02-28,-1.850007691913235
2018-03-01,8.547095318668923
2018-03-02,10.069443621496712
2018-03-03,2.2653153153153154
2018-03-04,1.3178603711384058
2018-03-05,6.4906186612576064
2018-03-06,-1.2956468235656053
2018-03-07,-0.6404689033897326
2018-03-08,1.429303845187233
2018-03-09,0.21824913528523407
2018-03-10,-2.079943980860127
2018-03-11,2.059629086866441
2018-03-12,1.5044711229682328
2018-03-13,1.87242288851806
2018-03-14,1.8711058027271823
2018-03-15,1.5954662645327626
2018-03-16,3.633647493198601
2018-03-17,-3.3496568570431546
2018-03-18,-1.3640945516859029
2018-03-19,1.0882956878850103
2018-03-20,10.070415928281038
2018-03-21,6.362595419847328
2018-03-22,8.94134779552074
2018-03-23,1.8436893203883495
2018-03-24,-1.4349121065233896
2018-03-25,-2.4561571392596324
2018-03-26,-1.3723419784925308
2018-03-27,-0.21534013087810075
2018-03-28,3.2565343176376698
2018-03-29,4.813549394767669
2018-03-30,1.173075051104838
2018-03-31,-3.775437766209181
2018-04-01,-4.17302746631005
2018-04-02,11.471754508319219
2018-04-03,16.751220008133387
2018-04-04,12.419690446904468
2018-04-05,1.1231940648184302
2018-04-06,12.656807372175981
2018-04-07,1.8265008627357648
2018-04-08,0.44301368479523306
2018-04-09,3.6651325032701902
2018-04-10,1.9224739556994033
2018-04-11,-3.9529585798816567
2018-04-12,-1.34559853203921
2018-04-13,5.899644716990315
2018-04-14,3.773962986598596
2018-04-15,23.161604918641014
2018-04-16,24.018372703412073
2018-04-17,2.1305099394987037
2018-04-18,-1.4125609634716831
2018-04-19,3.604696105903952
2018-04-20,-0.07390990122861961
2018-04-21,-2.059915714896476
2018-04-22,0.4789200624590742
2018-04-23,0.06676060444098926
2018-04-24,-2.569750961733144
2018-04-25,4.870350744385567
2018-04-26,-0.4975056908994043
2018-04-27,3.3097173828881146
2018-04-28,-3.5345938715953307
2018-04-29,-3.7280353644446675
2018-04-30,-2.5226031039984527
2018-05-01,-3.9572869389813414
2018-05-02,2.150093808630394
2018-05-03,17.48500074623153
2018-05-04,2.777169701666021
2018-05-05,-4.80663484198441
2018-05-06,-0.7084187884548047
2018-05-07,-4.564823733384705
2018-05-08,-4.594410838374244
2018-05-09,5.925695515851292
2018-05-10,11.530023432923258
2018-05-11,1.9031528279181709
2018-05-12,-0.37453183520599254
2018-05-13,1.6407902202506834
2018-05-14,18.333632555356075
2018-05-15,18.641369047619047
2018-05-16,14.12737182075091
2018-05-17,11.011886929209954
2018-05-18,7.940329416297438
2018-05-19,4.190058656346375
2018-05-20,18.589701924541714
2018-05-21,10.61187678321002
2018-05-22,7.73299609335871
2018-05-23,3.0274429089483483
2018-05-24,2.332378086640875
2018-05-25,4.727116458960034
2018-05-26,-0.923561811505508
2018-05-27,2.6850336862367663
2018-05-28,1.9741942064463485
2018-05-29,3.9492821550150476
2018-05-30,9.542279684945758
2018-05-31,13.97625952322438
2018-06-01,16.043072435585806
2018-06-02,4.813508920985557
2018-06-03,4.3071639845590814
2018-06-04,3.737680461982676
2018-06-05,-1.484736582964057
2018-06-06,-0.6565587734241908
2018-06-07,6.300771816847389
2018-06-08,7.256950923679791
2018-06-09,12.578127589063795
2018-06-10,15.744978845499197
2018-06-11,9.23677968466583
2018-06-12,-0.08941176470588236
2018-06-13,3.8376465072667605
2018-06-14,3.881420507996237
2018-06-15,5.47610468424047
2018-06-16,3.475339528234453
2018-06-17,7.001661129568106
2018-06-18,7.7707808564231735
2018-06-19,17.606776750997323
2018-06-20,12.71649583293419
2018-06-21,12.593699025958895
2018-06-22,13.256947017413857
2018-06-23,4.522047201177304
2018-06-24,15.537911232236715
2018-06-25,13.916379069116687
2018-06-26,16.235692367639178
