State,Destination Count,STATE,Airport Count
CA,791656,CA,26
TX,755525,TX,25
FL,541411,FL,17
IL,438451,IL,8
GA,414818,GA,8
NY,387683,NY,13
NC,330496,NC,8
CO,265774,CO,11
VA,259654,VA,9
MI,197120,MI,14
AZ,194743,AZ,4
PA,180898,PA,6
NV,179906,NV,3
MN,168217,MN,8
WA,157462,WA,5
MA,150707,MA,5
NJ,149759,NJ,3
MO,134042,MO,5
TN,124851,TN,5
OH,117861,OH,5
UT,117726,UT,5
HI,110098,HI,5
MD,106736,MD,1
KY,83315,KY,4
LA,83146,LA,7
OR,76032,OR,6
IN,67574,IN,4
WI,61158,WI,8
SC,56161,SC,5
OK,41539,OK,3
AL,38973,AL,5
AK,38838,AK,19
AR,29084,AR,4
CT,28314,CT,1
NE,27804,NE,3
IA,27683,IA,5
NM,27516,NM,4
PR,27301,PR,3
ID,25783,ID,6
MT,20380,MT,8
RI,18729,RI,1
ND,17074,ND,8
ME,16226,ME,2
MS,14820,MS,6
KS,14182,KS,5
SD,11350,SD,4
VT,9729,VT,1
NH,9726,NH,1
WY,8212,WY,7
WV,6085,WV,3
VI,3658,VI,2
GU,623,GU,1
AS,122,AS,1
