State,Origin Count,STATE,Airport Count
CA,791610,CA,26
TX,755557,TX,25
FL,541404,FL,17
IL,438469,IL,8
GA,414787,GA,8
NY,387671,NY,13
NC,330489,NC,8
CO,265766,CO,11
VA,259660,VA,9
MI,197150,MI,14
AZ,194751,AZ,4
PA,180902,PA,6
NV,179872,NV,3
MN,168227,MN,8
WA,157465,WA,5
MA,150708,MA,5
NJ,149766,NJ,3
MO,134041,MO,5
TN,124850,TN,5
OH,117856,OH,5
UT,117663,UT,5
HI,110114,HI,5
MD,106739,MD,1
KY,83314,KY,4
LA,83138,LA,7
OR,76037,OR,6
IN,67574,IN,4
WI,61160,WI,8
SC,56154,SC,5
OK,41535,OK,3
AL,38976,AL,5
AK,38850,AK,19
AR,29081,AR,4
CT,28316,CT,1
NE,27801,NE,3
IA,27683,IA,5
NM,27514,NM,4
PR,27296,PR,3
ID,25882,ID,6
MT,20383,MT,8
RI,18733,RI,1
ND,17078,ND,8
ME,16227,ME,2
MS,14819,MS,6
KS,14181,KS,5
SD,11351,SD,4
VT,9727,VT,1
NH,9726,NH,1
WY,8209,WY,7
WV,6087,WV,3
VI,3658,VI,2
GU,623,GU,1
AS,122,AS,1
