OP_CARRIER,TAXI_IN,TAXI_OUT
9E,7.1453010568606485,21.52212738444272
AA,9.457585911271375,18.49349161992893
AS,7.834351259963949,18.464113508652716
B6,7.069492803514639,17.701927805645717
DL,7.329798384675592,17.19213343123178
EV,7.700739316871211,18.83718270984277
F9,9.946407297871454,15.895788728287583
G4,6.7512601199322395,12.904532274659378
HA,7.133380313653357,11.993645712647659
MQ,8.435941094793598,18.063624785051402
NK,9.787799838799396,15.034226747948098
OH,8.176511992875023,16.18927159310055
OO,7.52234552798794,20.201572848216788
UA,7.68299051587525,19.328205416971677
VX,8.456932654216185,19.669326542161855
WN,5.173555619303361,12.218562391686234
YV,7.3115953481021485,17.009658916602366
YX,8.34215571514442,20.25922680249296
