ORIGIN_STATE,Flight Count
AK,38850
AL,38976
AR,29081
AS,122
AZ,194751
CA,791610
CO,265766
CT,28316
FL,541404
GA,414787
GU,623
HI,110114
IA,27683
ID,25882
IL,438469
IN,67574
KS,14181
KY,83314
LA,83138
MA,150708
MD,106739
ME,16227
MI,197150
MN,168227
MO,134041
MS,14819
MT,20383
NC,330489
ND,17078
NE,27801
NH,9726
NJ,149766
NM,27514
NV,179872
NY,387671
OH,117856
OK,41535
OR,76037
PA,180902
PR,27296
RI,18733
SC,56154
SD,11351
TN,124850
TX,755557
UT,117663
VA,259660
VI,3658
VT,9727
WA,157465
WI,61160
WV,6087
WY,8209
