Month,DEP_DELAY,ARR_DELAY,CANCELLED
2018-01,9.487916858871733,2.832677543708227,0.03011481833585328
2018-02,9.387337308870295,3.683413972381453,0.01723730678603732
2018-03,7.644075439443677,2.0314597803242385,0.02823589389970702
2018-04,8.445846743204017,3.6055624973437035,0.010487445599836255
2018-05,10.67163328862498,5.842225552024502,0.011605293506063786
2018-06,13.055950910273081,8.495267295084641,0.01707780189174903
2018-07,13.628331646024732,9.098327131368226,0.017174983999665272
2018-08,13.742741017206479,9.727907733583102,0.019161652496692123
2018-09,7.376985720119888,2.772020824295011,0.01388307961259857
2018-10,6.990296355862394,2.824561633466266,0.007279650576772315
2018-11,9.466367921682853,5.26027607918486,0.010669114159862703
2018-12,8.993885744641727,3.34567561892112,0.011370027717810462
