ORIGIN_STATE,Flight Count
AK,35395
AL,30836
AR,27904
AS,112
AZ,181747
CA,736675
CO,247620
CT,21783
DE,706
FL,423759
GA,385989
GU,365
HI,96505
IA,18800
ID,18090
IL,391496
IN,40619
KS,12423
KY,41675
LA,70987
MA,112001
MD,90851
ME,5988
MI,132941
MN,113098
MO,105957
MS,13642
MT,17235
NC,169910
ND,15231
NE,22829
NH,6754
NJ,113950
NM,28296
NV,153363
NY,264361
OH,82015
OK,40491
OR,65467
PA,108877
PR,28116
RI,12152
SC,29886
SD,11440
TN,85496
TX,717765
UT,112078
VA,166406
VI,5122
VT,4198
WA,121790
WI,56296
WV,3148
WY,10689
