State,Destination Count,STATE,Airport Count
CA,736672,CA,26
TX,717767,TX,25
FL,423772,FL,17
IL,391833,IL,8
GA,386052,GA,8
NY,264324,NY,13
CO,247478,CO,11
AZ,181736,AZ,4
NC,169923,NC,8
VA,166312,VA,9
NV,153365,NV,3
MI,132953,MI,14
WA,121792,WA,5
NJ,113820,NJ,3
MN,113085,MN,8
UT,112078,UT,5
MA,111994,MA,5
PA,108852,PA,6
MO,105952,MO,5
HI,96499,HI,5
MD,90845,MD,1
TN,85480,TN,5
OH,82027,OH,5
LA,70992,LA,7
OR,65458,OR,6
WI,56307,WI,8
KY,41678,KY,4
IN,40626,IN,4
OK,40491,OK,3
AK,35399,AK,19
AL,30830,AL,5
SC,29884,SC,5
NM,28295,NM,4
PR,28114,PR,3
AR,27904,AR,4
NE,22837,NE,3
CT,21780,CT,1
IA,18798,IA,5
ID,18095,ID,6
MT,17236,MT,8
ND,15250,ND,8
MS,13642,MS,6
KS,12419,KS,5
RI,12152,RI,1
SD,11436,SD,4
WY,10691,WY,7
NH,6753,NH,1
ME,5986,ME,2
VI,5123,VI,2
VT,4197,VT,1
WV,3149,WV,3
DE,711,DE,1
GU,366,GU,1
AS,112,AS,1
