Hour,TAXI_IN,TAXI_OUT
0,6.459779179810726,14.882266786840919
1,6.81861236088089,13.9057542031731
2,6.795520934761441,12.299902629016554
3,6.633241758241758,12.531593406593407
4,6.959745762711864,12.705508474576272
5,7.134874863982589,14.005032644178455
6,7.694432510545227,14.764846313076081
7,7.7276016410819945,15.731154899790848
8,7.04546603954888,16.408818663256532
9,6.714235938982763,16.065450476608643
10,6.634982234007987,15.339450983680443
11,6.8440190342792775,14.959492241693805
12,7.024799997762995,14.634462182030697
13,6.9514854082587165,15.066881132890444
14,7.067590741025597,14.774929213169484
15,6.876174285493503,15.551384304591167
16,7.0369640343750355,15.46138530020941
17,7.2408340616806095,15.549441877887377
18,7.43162921764924,15.465904338153504
19,6.641996398588056,15.44041273134898
20,5.941227214003086,15.288449154979203
21,5.711703874966378,14.682076492099556
22,5.858526380122939,15.517964810831776
23,6.819948706856596,14.764731328986805
