Hour,Average Departure Delay
0,5.010774639900193
1,3.9441141498216408
2,6.825443786982248
3,6.294200848656295
4,4.503225806451613
5,1.4742021276595745
6,1.74353949295831
7,2.718122276508649
8,4.713606635827086
9,6.070966551751969
10,7.563470631557601
11,8.809780842397192
12,10.114745598541393
13,11.602494941772987
14,13.226571063871855
15,14.193830974096736
16,15.34999193938417
17,16.080884140179048
18,17.58783752898765
19,17.901363718419837
20,17.501544306849407
21,15.85995103306149
22,10.184694257344907
23,8.443145489876512
