ORIGIN,LATITUDE,LONGITUDE,Average Arrival Delay
ABE,40.65236278,-75.44040167,6.029974489795919
ABI,32.41132,-99.68189722,11.223333333333333
ABQ,35.04022222,-106.6091944,8.209449987630906
ABR,45.44905556,-98.42183333,-3.4618528610354224
ABY,31.535515,-84.19447333,3.015290519877676
ACK,41.25305194,-70.06018139,1.895674300254453
ACT,31.61128833,-97.23051917,8.221759809750298
ACV,40.97811528,-124.1086189,14.803237410071942
ACY,39.45758333,-74.57716667,8.02127659574468
ADK,51.87796389,-176.6460306,3.9587628865979383
ADQ,57.74996778,-152.4938553,0.19444444444444445
AEX,31.32737167,-92.54855611,8.63982921622446
AGS,33.369955,-81.96449611,4.968846153846154
AKN,58.67680167,-156.6492175,7.809523809523809
ALB,42.74811944,-73.80297861,4.658718907075654
ALO,42.55708139,-92.40034361,16.344605475040257
AMA,35.2193725,-101.7059272,11.247251962883654
ANC,61.17432028,-149.9961856,-0.5692947057760646
APN,45.0780675,-83.56028583,-4.050819672131148
ART,43.99192222,-76.02173861,18.5
ASE,39.22316,-106.868845,15.972278225806452
ATL,33.64044444,-84.42694444,4.272901567677903
ATW,44.25740806,-88.51947556,15.802376237623763
AUS,30.19453278,-97.66987194,7.34691718007807
AVL,35.43619444,-82.54180556,6.96793893129771
AVP,41.33814944,-75.7242675,6.245177349097697
AZO,42.234875,-85.5520575,2.0787631271878646
BDL,41.93887417,-72.68322833,3.642457312197187
BET,60.77977639,-161.8379975,1.875776397515528
BFL,35.43359806,-119.0567681,2.9725429017160687
BGR,44.80744444,-68.82813889,-0.7207207207207207
BHM,33.56294306,-86.75354972,8.89674629928184
BIL,45.8076625,-108.5428611,-1.505625
BIS,46.77411111,-100.7467222,6.437556561085973
BJI,47.50942417,-94.93372333,-6.29901269393512
BLI,48.79275,-122.5375278,-0.10867178924259056
BMI,40.47798556,-88.91595278,7.2296122994652405
BNA,36.12447667,-86.67818222,9.719365184693652
BOI,43.56444444,-116.2227778,5.6809163059163055
BOS,42.3643475,-71.00517917,4.526307990108455
BPT,29.95083333,-94.02069444,14.681547619047619
BQK,31.25902778,-81.46630556,11.884381338742394
BQN,18.49486111,-67.12944444,5.197969543147208
BRD,46.39785806,-94.1372275,4.755148741418764
BRO,25.90683333,-97.42586111,8.603668941979523
BRW,71.2854475,-156.7660019,7.573170731707317
BTM,45.95479528,-112.49746,-8.89159891598916
BTR,30.53316083,-91.14963444,12.828976572133168
BTV,44.47300361,-73.1503125,8.271995977878332
BUF,42.94052472,-78.73216667,5.155204513399154
BUR,34.20061917,-118.3584969,4.5482625482625485
BWI,39.17540167,-76.66819833,10.391645143177989
BZN,45.77690139,-111.1530072,3.496341155690134
CAE,33.93884,-81.11953944,10.563285457809695
CAK,40.91631194,-81.44246556,2.549084359051336
CDC,37.70097028,-113.098575,-4.561728395061729
CDV,60.49183389,-145.4776503,0.07960893854748603
CEC,41.78015722,-124.2365333,22.37066974595843
CHA,35.03526833,-85.20378778,6.593308938839519
CHO,38.13863889,-78.45286111,10.995412844036696
