OP_CARRIER,TAXI_IN,TAXI_OUT
AA,8.675743029996449,16.081164670809024
AS,5.816513475230411,14.463243415264232
B6,5.892279719495541,17.558617982882982
DL,7.180936436045604,17.71753115727003
EV,6.823330481136875,15.30507083602397
F9,7.473021035636568,14.087500292486604
FL,8.082634127932574,13.133693943015285
HA,6.572900497778729,10.610943103355993
MQ,8.063147279991648,15.287857683071854
OO,6.679524656215846,16.288558471852927
UA,7.834724676208848,17.297600136162487
US,7.212865807338454,18.103664403795836
VX,8.175343418535906,14.604625282559555
WN,5.6907280827288185,11.309459209812767
