OP_CARRIER,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
AA,4.084577373502177,0.7591580388211204,3.0353191481447728,0.007857585219928695,5.375719038789504
AS,1.8038026420062774,0.21134178226224126,1.9023505993497944,0.0246042294564356,2.2323018651291364
B6,3.8093138373923177,0.5673406943726896,3.754394396318679,0.0329044066113187,4.788868730801424
DL,3.3660896454786817,0.6229604872715915,2.290704982039669,0.0044429173824769635,2.418758706856161
EV,4.862265149317587,0.40255618997086096,3.9069474549612915,0.004129611192660283,6.600198827732679
F9,2.9776657229098906,0.24275218195006668,6.239885813229754,0.0,6.065154315932331
FL,2.099163469400591,0.2614378262783823,2.124926095980879,0.0,4.05100949745267
HA,2.1554755660225875,0.07160252636086281,0.11858373922817535,0.0038671519563239307,0.9535941765241128
MQ,3.639832849929081,1.1771907889208328,4.1471144713153265,0.013814581577332372,5.416904973504015
OO,3.248953558553415,0.30070632758592564,2.5814772523367533,0.012216367877591635,5.660987227378758
UA,4.022302685967159,0.5723261902060268,3.633159618096643,0.0004214553176314211,4.889086333500835
US,3.049386854448772,0.31564515934549575,2.7971567409836857,0.03286267227762169,2.312915244836193
VX,1.747417840375587,0.7735524256651017,5.398956703182055,0.029368805425143453,3.656946617979482
WN,3.779508152759202,0.4076473247388759,1.6565276133056026,0.011790916822530952,7.223200778455909
