State,Origin Count,STATE,Airport Count
CA,736675,CA,26
TX,717765,TX,25
FL,423759,FL,17
IL,391496,IL,8
GA,385989,GA,8
NY,264361,NY,13
CO,247620,CO,11
AZ,181747,AZ,4
NC,169910,NC,8
VA,166406,VA,9
NV,153363,NV,3
MI,132941,MI,14
WA,121790,WA,5
NJ,113950,NJ,3
MN,113098,MN,8
UT,112078,UT,5
MA,112001,MA,5
PA,108877,PA,6
MO,105957,MO,5
HI,96505,HI,5
MD,90851,MD,1
TN,85496,TN,5
OH,82015,OH,5
LA,70987,LA,7
OR,65467,OR,6
WI,56296,WI,8
KY,41675,KY,4
IN,40619,IN,4
OK,40491,OK,3
AK,35395,AK,19
AL,30836,AL,5
SC,29886,SC,5
NM,28296,NM,4
PR,28116,PR,3
AR,27904,AR,4
NE,22829,NE,3
CT,21783,CT,1
IA,18800,IA,5
ID,18090,ID,6
MT,17235,MT,8
ND,15231,ND,8
MS,13642,MS,6
KS,12423,KS,5
RI,12152,RI,1
SD,11440,SD,4
WY,10689,WY,7
NH,6754,NH,1
ME,5988,ME,2
VI,5122,VI,2
VT,4198,VT,1
WV,3148,WV,3
DE,706,DE,1
GU,365,GU,1
AS,112,AS,1
