Hour,Average Departure Delay
0,7.56434906655089
1,5.352350765979926
2,11.139120095124852
3,7.830188679245283
4,4.721021611001965
5,2.229911175376988
6,1.7924522380448
7,2.671694701529823
8,3.8214771556166265
9,5.119952782087581
10,6.105665705884066
11,6.739602773168929
12,8.21591262238448
13,9.089698611025625
14,10.703126100570536
15,11.444673842715135
16,12.73277243084375
17,13.704458243403895
18,14.924297535261253
19,15.07188417535689
20,15.219930446367023
21,13.718424326354333
22,11.745359680949953
23,11.565749861762477
