ORIGIN_STATE,Flight Count
AK,36145
AL,25102
AR,16181
AS,121
AZ,179015
CA,727371
CO,248005
CT,20317
FL,442401
GA,398639
GU,367
HI,100811
IA,12243
ID,21180
IL,340625
IN,39084
KS,8917
KY,31332
LA,66647
MA,122962
MD,96218
ME,6978
MI,150934
MN,135912
MO,102397
MS,10982
MT,17123
NC,161383
ND,12740
NE,21341
NH,6712
NJ,121585
NM,21240
NV,165507
NY,251145
OH,69069
OK,30825
OR,68260
PA,105796
PR,29607
RI,12687
SC,32022
SD,7977
TN,79766
TX,578450
UT,111524
VA,145001
VI,6118
VT,4046
WA,147081
WI,50513
WV,2552
WY,8653
