OP_CARRIER,TAXI_IN,TAXI_OUT
AA,9.053195479472278,18.24350379171018
AS,6.692706453068592,15.314361462093864
B6,6.427435542512027,16.884272125123463
DL,6.974686425083393,17.34197926623361
EV,7.189248253528585,16.91077415018636
F9,10.851200050462044,15.84678462169237
HA,6.931083879201448,11.204886116501061
NK,9.10181694512985,14.559490300219249
OO,6.7848706045057785,18.581924074113804
UA,8.472719867465834,17.020410334876264
VX,8.579896124188018,15.149303395494856
WN,6.140089145819289,11.897214500971184
