State,Origin Count,STATE,Airport Count
CA,727371,CA,26
TX,578450,TX,25
FL,442401,FL,17
GA,398639,GA,8
IL,340625,IL,8
NY,251145,NY,13
CO,248005,CO,11
AZ,179015,AZ,4
NV,165507,NV,3
NC,161383,NC,8
MI,150934,MI,14
WA,147081,WA,5
VA,145001,VA,9
MN,135912,MN,8
MA,122962,MA,5
NJ,121585,NJ,3
UT,111524,UT,5
PA,105796,PA,6
MO,102397,MO,5
HI,100811,HI,5
MD,96218,MD,1
TN,79766,TN,5
OH,69069,OH,5
OR,68260,OR,6
LA,66647,LA,7
WI,50513,WI,8
IN,39084,IN,4
AK,36145,AK,19
SC,32022,SC,5
KY,31332,KY,4
OK,30825,OK,3
PR,29607,PR,3
AL,25102,AL,5
NE,21341,NE,3
NM,21240,NM,4
ID,21180,ID,6
CT,20317,CT,1
MT,17123,MT,8
AR,16181,AR,4
ND,12740,ND,8
RI,12687,RI,1
IA,12243,IA,5
MS,10982,MS,6
KS,8917,KS,5
WY,8653,WY,7
SD,7977,SD,4
ME,6978,ME,2
NH,6712,NH,1
VI,6118,VI,2
VT,4046,VT,1
WV,2552,WV,3
GU,367,GU,1
AS,121,AS,1
