Hour,TAXI_IN,TAXI_OUT
0,7.593609831029186,15.19815668202765
1,8.428496868475992,13.258698677800973
2,7.629976580796253,11.65456674473068
3,7.148606811145511,11.571723426212591
4,7.473988439306359,12.371868978805395
5,7.558726751382774,14.085684962629855
6,8.029676582126323,15.341324640610903
7,8.187514556754989,16.260092901537455
8,7.3636064324780275,16.97250414954695
9,7.065467902867712,16.96256371809753
10,7.005032549979223,15.906389953368114
11,7.1315000399037745,15.95041100888144
12,7.150594972993815,15.380770759789929
13,7.298417710497905,15.578092894208332
14,7.473910522296546,15.355474084800704
15,7.249799965666835,16.09431146000332
16,7.509285480629936,15.922557128837797
17,7.749557236084658,16.49456796125582
18,7.679461038759208,16.405016628850277
19,7.266166367259686,16.269202289658548
20,6.845599819941481,16.51305996482755
21,6.465499580427674,15.319783558552041
22,6.239404429059602,15.775492241009482
23,7.030164626596026,15.570346913505064
