ORIGIN,LATITUDE,LONGITUDE,Average Arrival Delay
ABE,40.65236278,-75.44040167,4.038312526904864
ABI,32.41132,-99.68189722,10.254777070063694
ABQ,35.04022222,-106.6091944,3.8312373441330063
ABR,45.44905556,-98.42183333,3.809004092769441
ABY,31.535515,-84.19447333,3.2312312312312312
ACK,41.25305194,-70.06018139,9.90296052631579
ACT,31.61128833,-97.23051917,5.354651162790698
ACV,40.97811528,-124.1086189,8.498897869213813
ACY,39.45758333,-74.57716667,8.783611111111112
ADK,51.87796389,-176.6460306,-2.118811881188119
ADQ,57.74996778,-152.4938553,-1.9923518164435947
AEX,31.32737167,-92.54855611,3.9768518518518516
AGS,33.369955,-81.96449611,3.4611280487804876
AKN,58.67680167,-156.6492175,-1.4444444444444444
ALB,42.74811944,-73.80297861,-2.7868124729320054
AMA,35.2193725,-101.7059272,-0.1542781631978857
ANC,61.17432028,-149.9961856,-2.4395559450774176
APN,45.0780675,-83.56028583,7.837359098228664
ASE,39.22316,-106.868845,8.775707384403036
ATL,33.64044444,-84.42694444,1.9414271589785552
ATW,44.25740806,-88.51947556,0.22709404293921984
AUS,30.19453278,-97.66987194,3.3272814559420416
AVL,35.43619444,-82.54180556,5.987387387387387
AVP,41.33814944,-75.7242675,3.663183773816841
AZO,42.234875,-85.5520575,2.9860973187686195
BDL,41.93887417,-72.68322833,-1.3792742498255408
BET,60.77977639,-161.8379975,-5.06478578892372
BFL,35.43359806,-119.0567681,0.9202954898911353
BGM,42.20848278,-75.97961361,4.989678899082569
BGR,44.80744444,-68.82813889,4.444444444444445
BHM,33.56294306,-86.75354972,1.7694148716679046
BIL,45.8076625,-108.5428611,-3.272916048650252
BIS,46.77411111,-100.7467222,3.1374570446735395
BJI,47.50942417,-94.93372333,3.819559228650138
BLI,48.79275,-122.5375278,0.13590604026845637
BMI,40.47798556,-88.91595278,3.3853333333333335
BNA,36.12447667,-86.67818222,3.977439478950053
BOI,43.56444444,-116.2227778,3.045298558682224
BOS,42.3643475,-71.00517917,1.644143465004858
BPT,29.95083333,-94.02069444,18.52173913043478
BQK,31.25902778,-81.46630556,3.312992125984252
BQN,18.49486111,-67.12944444,4.714129244249726
BRD,46.39785806,-94.1372275,3.671974522292994
BRO,25.90683333,-97.42586111,-0.8384499245093106
BRW,71.2854475,-156.7660019,-5.43956043956044
BTM,45.95479528,-112.49746,-2.0508221225710015
BTR,30.53316083,-91.14963444,8.565462085308058
BTV,44.47300361,-73.1503125,5.547465912014407
