ORIGIN,DEST,Flight Count,ORIGIN_STATE,DEST_STATE
ABE,ATL,980,PA,GA
ABE,DTW,724,PA,MI
ABE,EWR,1,PA,NJ
ABE,ORD,664,PA,IL
ABI,DFW,161,TX,TX
ABQ,ATL,882,NM,GA
ABQ,AUS,29,NM,TX
ABQ,BWI,581,NM,MD
ABQ,DAL,1724,NM,TX
ABQ,DEN,1904,NM,CO
ABQ,DFW,1726,NM,TX
ABQ,HOU,1037,NM,TX
ABQ,IAH,917,NM,TX
ABQ,JFK,326,NM,NY
ABQ,LAS,1412,NM,NV
ABQ,LAX,1196,NM,CA
ABQ,MCI,347,NM,MO
ABQ,MCO,71,NM,FL
ABQ,MDW,725,NM,IL
ABQ,MSP,217,NM,MN
ABQ,OAK,880,NM,CA
ABQ,ORD,158,NM,IL
ABQ,PDX,242,NM,OR
ABQ,PHX,2120,NM,AZ
ABQ,SAF,1,NM,NM
ABQ,SAN,681,NM,CA
ABQ,SEA,375,NM,WA
ABQ,SFO,379,NM,CA
ABQ,SLC,1037,NM,UT
ABR,MSP,743,SD,MN
ABY,ATL,1002,GA,GA
ACK,BOS,172,MA,MA
ACK,DCA,48,MA,VA
ACK,JFK,392,MA,NY
ACT,DEN,1,TX,CO
ACT,DFW,1418,TX,TX
ACV,SFO,1417,CA,CA
ACY,ATL,210,NJ,GA
ACY,BOS,147,NJ,MA
ACY,DTW,148,NJ,MI
ACY,FLL,889,NJ,FL
ACY,MCO,732,NJ,FL
ACY,MYR,366,NJ,SC
ACY,ORD,146,NJ,IL
ACY,PBI,156,NJ,FL
ACY,RSW,517,NJ,FL
ACY,TPA,382,NJ,FL
ADK,ANC,104,AK,AK
ADQ,ANC,542,AK,AK
AEX,ATL,1337,LA,GA
AEX,DFW,571,LA,TX
AEX,IAH,952,LA,TX
AGS,ATL,2640,GA,GA
AGS,LGA,1,GA,NY
AKN,ANC,63,AK,AK
ALB,ATL,1034,NY,GA
ALB,BWI,1910,NY,MD
ALB,CLT,1014,NY,NC
ALB,DEN,9,NY,CO
ALB,DTW,497,NY,MI
ALB,EWR,177,NY,NJ
ALB,FLL,669,NY,FL
ALB,LAS,361,NY,NV
ALB,MCO,1077,NY,FL
ALB,MDW,728,NY,IL
ALB,MHT,1,NY,NH
ALB,MSP,188,NY,MN
ALB,ORD,1231,NY,IL
ALB,RSW,37,NY,FL
ALB,TPA,416,NY,FL
AMA,DAL,1344,TX,TX
AMA,DEN,290,TX,CO
AMA,DFW,117,TX,TX
AMA,IAH,958,TX,TX
AMA,LAS,366,TX,NV
ANC,ADK,104,AK,AK
ANC,ADQ,542,AK,AK
ANC,AKN,63,AK,AK
ANC,ATL,108,AK,GA
ANC,BET,978,AK,AK
ANC,BRW,210,AK,AK
ANC,CDV,362,AK,AK
ANC,DEN,456,AK,CO
ANC,DFW,126,AK,TX
ANC,DLG,84,AK,AK
ANC,EWR,10,AK,NJ
ANC,FAI,366,AK,AK
ANC,GEG,12,AK,WA
ANC,HNL,328,AK,HI
ANC,IAH,68,AK,TX
ANC,JNU,1323,AK,AK
ANC,KOA,47,AK,HI
ANC,LAS,77,AK,NV
ANC,LAX,528,AK,CA
ANC,LGB,108,AK,CA
ANC,MSP,590,AK,MN
ANC,OGG,74,AK,HI
ANC,OME,415,AK,AK
ANC,ORD,625,AK,IL
ANC,OTZ,673,AK,AK
ANC,PDX,1060,AK,OR
ANC,PHX,321,AK,AZ
ANC,SCC,730,AK,AK
ANC,SEA,6649,AK,WA
ANC,SFO,125,AK,CA
ANC,SLC,92,AK,UT
APN,DTW,373,MI,MI
APN,PLN,269,MI,MI
ASE,ATL,103,CO,GA
ASE,DEN,2364,CO,CO
ASE,DFW,17,CO,TX
ASE,IAH,421,CO,TX
ASE,LAX,698,CO,CA
ASE,MSP,37,CO,MN
ASE,ORD,678,CO,IL
ASE,SFO,275,CO,CA
ASE,SLC,15,CO,UT
ATL,ABE,980,GA,PA
ATL,ABQ,881,GA,NM
ATL,ABY,1003,GA,GA
ATL,ACY,210,GA,NJ
ATL,AEX,1337,GA,LA
ATL,AGS,2640,GA,GA
ATL,ALB,1035,GA,NY
ATL,ANC,108,GA,AK
ATL,ASE,103,GA,CO
ATL,ATW,499,GA,WI
ATL,AUS,3266,GA,TX
ATL,AVL,2331,GA,NC
ATL,AVP,356,GA,PA
ATL,BDL,2337,GA,CT
ATL,BHM,3563,GA,AL
ATL,BMI,1002,GA,IL
ATL,BNA,3823,GA,TN
ATL,BOS,5329,GA,MA
ATL,BQK,1032,GA,GA
ATL,BTR,2738,GA,LA
ATL,BTV,328,GA,VT
ATL,BUF,1700,GA,NY
ATL,BWI,6422,GA,MD
ATL,BZN,85,GA,MT
ATL,CAE,2827,GA,SC
ATL,CAK,2318,GA,OH
ATL,CHA,3223,GA,TN
ATL,CHO,1084,GA,VA
ATL,CHS,3652,GA,SC
ATL,CID,827,GA,IA
ATL,CLE,3068,GA,OH
ATL,CLT,6848,GA,NC
ATL,CMH,3832,GA,OH
ATL,COS,330,GA,CO
ATL,CRW,1629,GA,WV
ATL,CSG,1235,GA,GA
ATL,CVG,2545,GA,KY
ATL,DAB,1615,GA,FL
ATL,DAL,3408,GA,TX
ATL,DAY,1408,GA,OH
ATL,DCA,6253,GA,VA
ATL,DEN,6001,GA,CO
ATL,DFW,7092,GA,TX
ATL,DHN,1377,GA,AL
ATL,DSM,997,GA,IA
ATL,DTW,5630,GA,MI
ATL,ECP,2065,GA,
ATL,EGE,103,GA,CO
ATL,ELM,15,GA,NY
ATL,ELP,879,GA,TX
ATL,EVV,1047,GA,IN
ATL,EWN,701,GA,NC
ATL,EWR,5689,GA,NJ
ATL,EYW,1749,GA,FL
ATL,FAR,19,GA,ND
ATL,FAY,1701,GA,NC
ATL,FCA,11,GA,MT
ATL,FLL,8046,GA,FL
ATL,FNT,1032,GA,MI
ATL,FSD,300,GA,SD
ATL,FSM,710,GA,AR
ATL,FWA,1382,GA,IN
ATL,GNV,2287,GA,FL
ATL,GPT,1396,GA,MS
ATL,GRB,515,GA,WI
ATL,GRK,574,GA,TX
ATL,GRR,1444,GA,MI
ATL,GSO,2884,GA,NC
ATL,GSP,3457,GA,SC
ATL,GTR,1014,GA,MS
ATL,HDN,97,GA,CO
ATL,HNL,367,GA,HI
ATL,HOU,4014,GA,TX
ATL,HPN,2082,GA,NY
ATL,HSV,2825,GA,AL
ATL,IAD,3385,GA,VA
ATL,IAH,4233,GA,TX
ATL,ICT,1069,GA,KS
ATL,ILM,1771,GA,NC
ATL,IND,4129,GA,IN
ATL,JAC,101,GA,WY
ATL,JAN,2435,GA,MS
ATL,JAX,5747,GA,FL
ATL,JFK,2350,GA,NY
ATL,LAS,4846,GA,NV
ATL,LAX,6480,GA,CA
ATL,LEX,2544,GA,KY
ATL,LFT,1311,GA,LA
ATL,LGA,8099,GA,NY
ATL,LIT,2258,GA,AR
ATL,LNK,327,GA,NE
ATL,MCI,3986,GA,MO
ATL,MCO,8992,GA,FL
ATL,MDT,1035,GA,PA
ATL,MDW,4842,GA,IL
ATL,MEM,3515,GA,TN
ATL,MGM,2418,GA,AL
ATL,MHT,366,GA,NH
ATL,MIA,5813,GA,FL
ATL,MKE,3575,GA,WI
ATL,MLB,1517,GA,FL
ATL,MLI,942,GA,IL
ATL,MLU,1307,GA,LA
ATL,MOB,2478,GA,AL
ATL,MSN,1026,GA,WI
ATL,MSO,8,GA,MT
ATL,MSP,5155,GA,MN
ATL,MSY,6281,GA,LA
ATL,MTJ,44,GA,CO
ATL,MYR,1589,GA,SC
ATL,OAJ,1271,GA,NC
ATL,OAK,420,GA,CA
ATL,OKC,2298,GA,OK
ATL,OMA,1735,GA,NE
ATL,ORD,7378,GA,IL
ATL,ORF,2966,GA,VA
ATL,PBI,4657,GA,FL
ATL,PDX,1285,GA,OR
ATL,PHF,1127,GA,VA
ATL,PHL,6985,GA,PA
ATL,PHX,3732,GA,AZ
ATL,PIA,1022,GA,IL
ATL,PIT,3648,GA,PA
ATL,PNS,2495,GA,FL
ATL,PVD,1044,GA,RI
ATL,PWM,708,GA,ME
ATL,RAP,11,GA,SD
ATL,RDU,5394,GA,NC
ATL,RIC,4051,GA,VA
ATL,RNO,6,GA,NV
ATL,ROA,1659,GA,VA
ATL,ROC,1061,GA,NY
ATL,RST,355,GA,MN
ATL,RSW,4165,GA,FL
ATL,SAN,2281,GA,CA
ATL,SAT,3215,GA,TX
ATL,SAV,3636,GA,GA
ATL,SBN,1385,GA,IN
ATL,SCE,11,GA,
ATL,SDF,2988,GA,KY
ATL,SEA,3199,GA,WA
ATL,SFO,3232,GA,CA
ATL,SGF,1358,GA,MO
ATL,SHV,2198,GA,LA
ATL,SJC,513,GA,CA
ATL,SJU,1487,GA,PR
ATL,SLC,2897,GA,UT
ATL,SMF,624,GA,CA
ATL,SNA,1046,GA,CA
ATL,SRQ,2127,GA,FL
ATL,STL,3964,GA,MO
ATL,STT,702,GA,VI
ATL,STX,67,GA,VI
ATL,SYR,1060,GA,NY
ATL,TLH,2256,GA,FL
ATL,TPA,7743,GA,FL
ATL,TRI,2160,GA,TN
ATL,TTN,230,GA,NJ
ATL,TUL,1609,GA,OK
ATL,TUS,680,GA,AZ
ATL,TVC,22,GA,MI
ATL,TYS,2198,GA,TN
ATL,VLD,1028,GA,GA
ATL,VPS,2395,GA,FL
ATL,XNA,1905,GA,AR
ATW,ATL,417,WI,GA
ATW,DTW,804,WI,MI
ATW,MSP,824,WI,MN
ATW,ORD,1335,WI,IL
AUS,ABQ,29,TX,NM
AUS,ATL,3269,TX,GA
AUS,BNA,702,TX,TN
AUS,BOS,729,TX,MA
AUS,BWI,698,TX,MD
AUS,CLT,933,TX,NC
AUS,DAL,3304,TX,TX
AUS,DCA,366,TX,VA
AUS,DEN,2769,TX,CO
AUS,DFW,4353,TX,TX
AUS,DTW,473,TX,MI
AUS,ELP,945,TX,TX
AUS,EWR,1232,TX,NJ
AUS,FLL,1077,TX,FL
AUS,HOU,1538,TX,TX
AUS,HRL,353,TX,TX
AUS,IAD,146,TX,VA
AUS,IAH,2009,TX,TX
AUS,JFK,1685,TX,NY
AUS,LAS,1349,TX,NV
AUS,LAX,2911,TX,CA
AUS,LBB,368,TX,TX
AUS,LGB,464,TX,CA
AUS,MCO,1129,TX,FL
AUS,MDW,984,TX,IL
AUS,MEM,11,TX,TN
AUS,MIA,335,TX,FL
AUS,MSP,381,TX,MN
AUS,MSY,385,TX,LA
AUS,OAK,357,TX,CA
AUS,ORD,2181,TX,IL
AUS,PDX,428,TX,OR
AUS,PHL,490,TX,PA
AUS,PHX,1742,TX,AZ
AUS,SAN,689,TX,CA
AUS,SEA,912,TX,WA
AUS,SFO,2113,TX,CA
AUS,SJC,659,TX,CA
AUS,SLC,665,TX,UT
AUS,SNA,366,TX,CA
AUS,STL,366,TX,MO
AUS,TPA,371,TX,FL
AVL,ATL,2331,NC,GA
AVL,EWR,210,NC,NJ
AVL,LGA,3,NC,NY
AVL,ORD,852,NC,IL
AVP,ATL,356,PA,GA
AVP,DTW,691,PA,MI
AVP,EWR,99,PA,NJ
AVP,ORD,522,PA,IL
AZO,DTW,870,MI,MI
AZO,MSP,209,MI,MN
AZO,ORD,999,MI,IL
BDL,ATL,2337,CT,GA
BDL,BWI,2507,CT,MD
BDL,CLE,122,CT,OH
BDL,CLT,1926,CT,NC
BDL,DCA,718,CT,VA
BDL,DEN,647,CT,CO
BDL,DFW,672,CT,TX
BDL,DTW,1443,CT,MI
BDL,EWR,194,CT,NJ
BDL,FLL,977,CT,FL
BDL,IAD,414,CT,VA
BDL,LAS,302,CT,NV
BDL,LAX,201,CT,CA
BDL,MCO,1766,CT,FL
BDL,MDW,976,CT,IL
BDL,MIA,364,CT,FL
BDL,MSP,704,CT,MN
BDL,ORD,1328,CT,IL
BDL,PBI,397,CT,FL
BDL,PHL,261,CT,PA
BDL,RDU,19,CT,NC
BDL,RSW,457,CT,FL
BDL,SJU,576,CT,PR
BDL,TPA,1009,CT,FL
BET,ANC,978,AK,AK
BFF,COS,1,,CO
BFL,DEN,673,CA,CO
BFL,IAH,17,CA,TX
BFL,PHX,1263,CA,AZ
BFL,SFO,650,CA,CA
BGM,DTW,877,NY,MI
BGR,DTW,285,ME,MI
BGR,EWR,122,ME,NJ
BGR,LGA,202,ME,NY
BHM,ATL,3565,AL,GA
BHM,BWI,384,AL,MD
BHM,DAL,704,AL,TX
BHM,DEN,365,AL,CO
BHM,DFW,27,AL,TX
BHM,DTW,741,AL,MI
BHM,HOU,671,AL,TX
BHM,IAH,1672,AL,TX
BHM,LAS,393,AL,NV
BHM,LGA,539,AL,NY
BHM,MCO,729,AL,FL
BHM,MDW,706,AL,IL
BHM,ORD,1126,AL,IL
BHM,PHX,2,AL,AZ
BHM,TPA,676,AL,FL
BIL,COD,1,MT,WY
BIL,DEN,1347,MT,CO
BIL,MSP,756,MT,MN
BIL,ORD,45,MT,IL
BIL,SEA,123,MT,WA
BIL,SLC,1140,MT,UT
BIS,DEN,1076,ND,CO
BIS,DVL,1,ND,ND
BIS,MSP,1303,ND,MN
BJI,MSP,730,MN,MN
BLI,HNL,107,WA,HI
BLI,KOA,8,WA,HI
BLI,LAS,212,WA,NV
BLI,OGG,86,WA,HI
BLI,SEA,193,WA,WA
BMI,ATL,1003,IL,GA
BMI,DTW,112,IL,MI
BMI,MSP,402,IL,MN
BNA,ATL,3823,TN,GA
BNA,AUS,710,TN,TX
BNA,BOS,1398,TN,MA
BNA,BWI,2036,TN,MD
BNA,CHS,389,TN,SC
BNA,CLE,889,TN,OH
BNA,CLT,1779,TN,NC
BNA,CMH,700,TN,OH
BNA,CVG,533,TN,KY
BNA,DAL,1100,TN,TX
BNA,DCA,1067,TN,VA
BNA,DEN,2418,TN,CO
BNA,DFW,2737,TN,TX
BNA,DTW,2420,TN,MI
BNA,ECP,716,TN,
BNA,EWR,1463,TN,NJ
BNA,FLL,1335,TN,FL
BNA,HOU,1351,TN,TX
BNA,IAH,1338,TN,TX
BNA,JAX,978,TN,FL
BNA,LAS,1152,TN,NV
BNA,LAX,2132,TN,CA
BNA,LGA,1342,TN,NY
BNA,MCI,1229,TN,MO
BNA,MCO,1569,TN,FL
BNA,MDW,2314,TN,IL
BNA,MIA,99,TN,FL
BNA,MSP,1187,TN,MN
BNA,MSY,1124,TN,LA
BNA,OAK,366,TN,CA
BNA,ORD,1695,TN,IL
BNA,PHL,811,TN,PA
BNA,PHX,835,TN,AZ
