State,Destination Count,STATE,Airport Count
CA,727407,CA,26
TX,578440,TX,25
FL,442378,FL,17
GA,398518,GA,8
IL,340426,IL,8
NY,251131,NY,13
CO,248098,CO,11
AZ,179058,AZ,4
NV,165517,NV,3
NC,161388,NC,8
MI,151108,MI,14
WA,147083,WA,5
VA,144985,VA,9
MN,135827,MN,8
MA,122965,MA,5
NJ,121749,NJ,3
UT,111559,UT,5
PA,105802,PA,6
MO,102388,MO,5
HI,100815,HI,5
MD,96211,MD,1
TN,79769,TN,5
OH,69059,OH,5
OR,68263,OR,6
LA,66642,LA,7
WI,50508,WI,8
IN,39072,IN,4
AK,36144,AK,19
SC,32020,SC,5
KY,31323,KY,4
OK,30829,OK,3
PR,29606,PR,3
AL,25104,AL,5
NE,21349,NE,3
NM,21245,NM,4
ID,21101,ID,6
CT,20322,CT,1
MT,17121,MT,8
AR,16179,AR,4
ND,12739,ND,8
RI,12688,RI,1
IA,12246,IA,5
MS,10983,MS,6
KS,8917,KS,5
WY,8652,WY,7
SD,7978,SD,4
ME,6977,ME,2
NH,6715,NH,1
VI,6117,VI,2
VT,4044,VT,1
WV,2552,WV,3
GU,367,GU,1
AS,121,AS,1
