State,Destination Count,STATE,Airport Count
CA,731932,CA,26
TX,699348,TX,25
FL,436136,FL,17
GA,436126,GA,8
IL,419134,IL,8
NY,303111,NY,13
CO,270245,CO,11
AZ,210106,AZ,4
NC,193778,NC,8
VA,190260,VA,9
MI,188512,MI,14
NV,174717,NV,3
TN,147406,TN,5
PA,141590,PA,6
UT,135096,UT,5
MN,124624,MN,8
NJ,119124,NJ,3
MO,117453,MO,5
WA,116885,WA,5
OH,111048,OH,5
MA,110806,MA,5
HI,110650,HI,5
MD,100928,MD,1
KY,85099,KY,4
WI,74274,WI,8
OR,67688,OR,6
LA,61224,LA,7
IN,52779,IN,4
AL,44202,AL,5
OK,43097,OK,3
AK,38438,AK,19
SC,38359,SC,5
NM,36980,NM,4
AR,34894,AR,4
NE,28350,NE,3
IA,25591,IA,5
CT,23754,CT,1
PR,23393,PR,3
ID,22516,ID,6
MS,20558,MS,6
RI,18269,RI,1
MT,17987,MT,8
NH,14757,NH,1
KS,13518,KS,5
WY,10218,WY,7
ME,9149,ME,2
SD,9068,SD,4
ND,8586,ND,8
VT,6021,VT,1
WV,3831,WV,3
VI,3436,VI,2
