ORIGIN_STATE,Flight Count
AK,38439
AL,44193
AR,34884
AZ,210120
CA,731862
CO,270218
CT,23760
FL,436135
GA,436119
HI,110643
IA,25595
ID,22524
IL,419211
IN,52780
KS,13520
KY,85086
LA,61219
MA,110802
MD,100923
ME,9148
MI,188517
MN,124597
MO,117475
MS,20561
MT,17990
NC,193797
ND,8588
NE,28357
NH,14753
NJ,119124
NM,36985
NV,174725
NY,303130
OH,111059
OK,43108
OR,67684
PA,141591
PR,23396
RI,18274
SC,38352
SD,9070
TN,147417
TX,699328
UT,135118
VA,190202
VI,3435
VT,6028
WA,116904
WI,74253
WV,3834
WY,10218
