Hour,Average Departure Delay
0,4.196205200281097
1,2.365845648604269
2,5.1838235294117645
3,2.629976580796253
4,2.416809605488851
5,0.0020297107662158144
6,0.4869053846348832
7,1.3172436498087978
8,2.744751504345888
9,4.070873951961342
10,5.240487129322283
11,6.168217275428476
12,7.343321313983173
13,8.4350114184576
14,9.751334139521205
15,10.498812180733443
16,11.350081134973394
17,12.205915437355676
18,13.008125196618929
19,12.587945845341352
20,13.547903704517973
21,10.82992174745257
22,7.531998069498069
23,6.674873556637084
