ORIGIN,Average Departure Delay
ABE,5.877463365336029
ABI,8.68557336621455
ABQ,5.050531013444808
ABY,7.742564102564103
ACK,16.47878787878788
ACT,7.921157684630739
ACV,10.242682926829268
ACY,5.66015625
ADK,5.505376344086022
ADQ,11.698010849909585
AEX,7.656732117812061
AGS,12.303947368421053
AKN,20.272727272727273
ALB,6.313421518240795
ALO,1.8538205980066444
AMA,6.666921781723557
ANC,3.8389292455528228
ASE,11.453469852104664
ATL,10.864442870724277
ATW,3.4550203134068487
AUS,5.9225235196458215
AVL,12.183646112600536
AVP,4.880794701986755
AZO,2.430031723651745
BDL,5.697255538008451
BET,4.163054695562436
BFL,1.1473808819177271
BGM,-0.9528158295281582
BGR,9.702185792349727
BHM,8.442259973277343
BIL,2.102302459445317
BIS,1.5818115412710008
BJI,0.35185185185185186
BKG,13.54109589041096
BLI,8.26
BMI,6.767580199702571
BNA,7.801149832938234
BOI,3.725696502667457
BOS,6.845266939593951
BQK,7.191096634093377
BQN,2.7050938337801607
BRO,3.161203412662775
BRW,11.925729442970823
BTM,-2.2492625368731565
BTR,8.457035382626072
BTV,6.982046070460704
BUF,7.344823341130124
BUR,4.619569542412733
BWI,9.40375685520996
BZN,1.8064102564102564
CAE,8.533142973689579
CAK,6.607663186876219
CDC,-2.9887459807073955
CDV,11.044817927170868
CEC,17.47887323943662
CHA,8.558937823834198
CHO,9.063041765169425
CHS,8.485779744035392
CIC,10.871015567086731
CID,4.7930680652149125
CLD,-1.7666975881261595
CLE,4.331456314184129
CLL,7.354589371980676
CLT,7.2201522227988235
CMH,6.236876225938362
CMI,3.026978417266187
CMX,7.191616766467066
COD,-2.3115234375
COS,5.487574781408192
CPR,0.7102222222222222
CRP,3.788335202691876
CRW,8.3958876339415
CSG,8.73960612691466
CVG,7.573391905719629
CWA,3.5744605588963565
DAB,12.862929816297692
DAL,8.611926489759872
DAY,6.774275618374558
DBQ,4.6720321931589535
DCA,4.976301859708035
DEN,9.030288098992253
DFW,11.182317655393335
DHN,11.892883895131087
DLG,15.064935064935066
DLH,1.070415133998949
DRO,4.62614819350888
DSM,5.320656226696495
DTW,6.774581655866767
EGE,9.596499526963104
EKO,-2.7451682176091623
ELM,2.3639167309175018
ELP,4.868282045069058
ERI,2.513651877133106
EUG,4.744910179640718
EVV,3.0555077452667816
EWN,8.386458333333334
EWR,14.279787776404815
EYW,17.31313131313131
FAI,3.0628764153216093
FAR,3.0056338028169014
FAT,5.701805998202174
FAY,12.565626049009735
FCA,0.632510479739171
FLG,1.2091708542713568
FLL,9.786965232002068
FLO,6.361971830985915
FNT,5.681393264182354
FSD,4.569498825371966
FSM,3.58372591006424
