OP_CARRIER,ARR_DELAY
EV,11.720781314309233
OH,10.687756925826632
FL,8.19784181384634
YV,6.0439208793426795
MQ,5.96796750038926
XE,5.754591007003203
F9,5.685623372866647
AA,5.670897935633011
CO,5.513818562083281
B6,5.07928058081165
DL,4.841973616257678
NW,3.924208109701238
OO,3.30350377730639
US,2.089959554633247
WN,1.6638596867624973
AS,1.3170298008603072
UA,1.0341901171985008
9E,0.9500134288794865
HA,0.2607874493368993
