Hour,TAXI_IN,TAXI_OUT
0,6.430466350181513,14.237503490645071
1,6.009076175040518,14.378282009724474
2,8.446875,14.351041666666667
3,6.580419580419581,12.083916083916083
4,7.10200668896321,13.887959866220736
5,8.311069754618142,13.748328508409154
6,7.756066925613178,15.08784384933773
7,7.499405837814211,15.615939026666727
8,6.830554024559624,16.70638462047223
9,6.430048959317704,16.767117953491024
10,6.463694153676716,15.598365367430043
11,6.685431207123315,15.36374093202513
12,6.9337166320406,14.647782991446912
13,6.669511252642066,15.496398875201356
14,6.8070407629703205,15.294670266023854
15,6.706158665204719,15.649441514077997
16,7.0013674986408105,15.729662612444713
17,7.269695784634911,15.990649434587022
18,6.93165661380232,16.276712078173514
19,6.2813048974699965,16.749284451668334
20,5.563986792730803,16.22194538568866
21,5.578736770835068,17.14658497466549
22,5.704554667938476,16.807785859067604
23,6.555950518981942,14.911228020285321
