State,Origin Count,STATE,Airport Count
CA,731862,CA,26
TX,699328,TX,25
FL,436135,FL,17
GA,436119,GA,8
IL,419211,IL,8
NY,303130,NY,13
CO,270218,CO,11
AZ,210120,AZ,4
NC,193797,NC,8
VA,190202,VA,9
MI,188517,MI,14
NV,174725,NV,3
TN,147417,TN,5
PA,141591,PA,6
UT,135118,UT,5
MN,124597,MN,8
NJ,119124,NJ,3
MO,117475,MO,5
WA,116904,WA,5
OH,111059,OH,5
MA,110802,MA,5
HI,110643,HI,5
MD,100923,MD,1
KY,85086,KY,4
WI,74253,WI,8
OR,67684,OR,6
LA,61219,LA,7
IN,52780,IN,4
AL,44193,AL,5
OK,43108,OK,3
AK,38439,AK,19
SC,38352,SC,5
NM,36985,NM,4
AR,34884,AR,4
NE,28357,NE,3
IA,25595,IA,5
CT,23760,CT,1
PR,23396,PR,3
ID,22524,ID,6
MS,20561,MS,6
RI,18274,RI,1
MT,17990,MT,8
NH,14753,NH,1
KS,13520,KS,5
WY,10218,WY,7
ME,9148,ME,2
SD,9070,SD,4
ND,8588,ND,8
VT,6028,VT,1
WV,3834,WV,3
VI,3435,VI,2
