OP_CARRIER,TAXI_IN,TAXI_OUT
9E,7.934326969638043,17.8201922453664
AA,8.046560713818229,15.707215265354801
AS,5.570694181128774,15.279859997083273
B6,6.06756513093159,19.835844808844517
CO,7.572685867590058,18.772950250735047
DL,9.074258982808965,20.99303345257208
EV,7.609030586281705,17.954525671585827
F9,6.98520723661525,14.204592997862118
FL,7.605419397169079,15.090548660953615
HA,5.659454555451696,9.751718260295815
MQ,6.690332132118346,14.644164160947506
NW,8.239876880984951,19.089945280437757
OH,8.392548188381797,23.04596277406107
OO,6.024974596984594,14.54664725967832
UA,6.626512203937577,16.536625100990772
US,6.171649579619813,18.523028679054775
WN,4.919710136968343,10.225224036203649
XE,6.826852211016292,16.49762735971037
YV,6.893219781124002,15.390039496420638
