OP_CARRIER,Cancellation Rate
AA,0.018219032024675372
AS,0.008111459723925758
B6,0.01042103241128807
DL,0.0051081404195196176
EV,0.020614020287370673
F9,0.003154375118289067
FL,0.006926045782491909
HA,0.0009040737292366649
MQ,0.021923743500866552
OO,0.01807671637345489
UA,0.014304134627149433
US,0.009869812473563002
VX,0.005206240181213693
WN,0.008399566869933846
YV,0.014196572520451424
