ORIGIN,LATITUDE,LONGITUDE,Average Arrival Delay
ABE,40.65236278,-75.44040167,-0.08731884057971015
ABI,32.41132,-99.68189722,-1.0313938886563416
ABQ,35.04022222,-106.6091944,2.258709066570897
ABR,45.44905556,-98.42183333,-7.069883527454243
ABY,31.535515,-84.19447333,5.767137096774194
ACK,41.25305194,-70.06018139,14.810344827586206
ACT,31.61128833,-97.23051917,0.39829396325459315
ACV,40.97811528,-124.1086189,25.5152824945971
ACY,39.45758333,-74.57716667,-14.0
ADK,51.87796389,-176.6460306,10.900990099009901
ADQ,57.74996778,-152.4938553,2.359932088285229
AEX,31.32737167,-92.54855611,4.290527478597073
AGS,33.369955,-81.96449611,6.96588693957115
AKN,58.67680167,-156.6492175,3.4819277108433737
ALB,42.74811944,-73.80297861,1.4472076321149105
ALO,42.55708139,-92.40034361,-8.44040404040404
AMA,35.2193725,-101.7059272,2.6158612143742257
ANC,61.17432028,-149.9961856,-0.38882173487595695
APN,45.0780675,-83.56028583,-5.865979381443299
ART,43.99192222,-76.02173861,-11.292845257903494
ASE,39.22316,-106.868845,2.4795385285154548
ATL,33.64044444,-84.42694444,0.11818756780937788
ATW,44.25740806,-88.51947556,1.236812881732371
AUS,30.19453278,-97.66987194,1.8274429721764556
AVL,35.43619444,-82.54180556,4.4333646175504455
AVP,41.33814944,-75.7242675,-3.28053585500394
AZO,42.234875,-85.5520575,-2.1312154696132595
BDL,41.93887417,-72.68322833,-1.9334108752544343
BET,60.77977639,-161.8379975,-0.5054229934924078
BFL,35.43359806,-119.0567681,6.161019175203572
BGR,44.80744444,-68.82813889,-3.28
BHM,33.56294306,-86.75354972,2.5128014204708173
BIL,45.8076625,-108.5428611,-2.6424885321100917
BIS,46.77411111,-100.7467222,-1.97875
BJI,47.50942417,-94.93372333,-5.5770547945205475
BLI,48.79275,-122.5375278,1.167973124300112
BMI,40.47798556,-88.91595278,-1.7634276342763429
BNA,36.12447667,-86.67818222,1.7305011494252873
BOI,43.56444444,-116.2227778,1.6656404515346581
BOS,42.3643475,-71.00517917,0.2759962563420521
BPT,29.95083333,-94.02069444,7.1
BQK,31.25902778,-81.46630556,4.43172268907563
BQN,18.49486111,-67.12944444,0.8024523160762943
BRD,46.39785806,-94.1372275,-8.364779874213836
BRO,25.90683333,-97.42586111,4.354824561403508
BRW,71.2854475,-156.7660019,2.2465923172242874
BTM,45.95479528,-112.49746,-8.599118942731277
BTR,30.53316083,-91.14963444,7.275613095979086
BTV,44.47300361,-73.1503125,6.155735563104259
BUF,42.94052472,-78.73216667,0.7778752886836028
BUR,34.20061917,-118.3584969,-0.12841873624646338
BWI,39.17540167,-76.66819833,4.916954370641408
BZN,45.77690139,-111.1530072,-1.9414907827945498
CAE,33.93884,-81.11953944,7.274945601492074
CAK,40.91631194,-81.44246556,1.416563505818272
CDC,37.70097028,-113.098575,-5.3286604361370715
CDV,60.49183389,-145.4776503,-5.634285714285714
CEC,41.78015722,-124.2365333,34.27559912854031
CHA,35.03526833,-85.20378778,1.7169540229885059
CHO,38.13863889,-78.45286111,0.5118978525827046
CHS,32.89864639,-80.04050583,3.4573683056915323
CIC,39.79538278,-121.8584231,19.27828241123039
CID,41.88458833,-91.71087222,1.88904193449648
CLD,33.127231,-117.278727,4.903239740820735
CLE,41.41089417,-81.84939667,1.5080349288763972
CLL,30.58858944,-96.36382417,-1.4073049252905367
CLT,35.21401111,-80.94312583,0.7592941910377708
CMH,39.99798528,-82.89188278,1.7732067510548524
CMI,40.03925,-88.27805556,-1.857399910031489
CMX,47.16841722,-88.48906083,11.136170212765958
COD,44.52019417,-109.0237961,-1.611358574610245
COS,38.80580556,-104.70025,3.6078123637631876
COU,38.81809306,-92.21962917,3.207156308851224
CPR,42.90835556,-106.4644661,-2.902784116841625
CRP,27.77036083,-97.50121528,3.5881112984822936
CRW,38.37315083,-81.59318972,5.46353591160221
CSG,32.51633333,-84.93886111,4.376256582096697
CVG,39.04614278,-84.6621725,1.0407819346140883
CWA,44.77761917,-89.66677944,3.3061617458279846
CYS,41.1557225,-104.8118381,12.2
DAB,29.17991667,-81.05805556,-0.3460135487232934
DAL,32.84711389,-96.85177222,3.785865803282349
DAY,39.90237583,-84.219375,2.662208212642699
DBQ,42.40295944,-90.70916722,-2.2074074074074073
DCA,38.85208333,-77.03772222,1.5465835808999349
DEN,39.85840806,-104.6670019,5.0798744511525795
DFW,32.89595056,-97.0372,8.066508509386372
DHN,31.32133917,-85.44962889,6.277736411020104
DLG,59.0454125,-158.5033389,-1.5
