ORIGIN_STATE,Flight Count
AK,38589
AL,36580
AR,31503
AZ,209700
CA,763357
CO,265729
CT,20977
FL,441368
GA,409726
GU,369
HI,111782
IA,18704
ID,18272
IL,412926
IN,39391
KS,12517
KY,49821
LA,66800
MA,103689
MD,103329
ME,6746
MI,113150
MN,114917
MO,113614
MS,15584
MT,16775
NC,203218
ND,13098
NE,22940
NH,9200
NJ,119875
NM,33932
NV,162205
NY,261528
OH,95604
OK,42047
OR,67046
PA,119553
PR,27733
RI,13900
SC,33482
SD,11908
TN,108024
TX,710506
UT,112974
VA,186129
VI,4681
VT,3942
WA,114420
WI,58813
WV,4036
WY,10417
