OP_CARRIER,TAXI_IN,TAXI_OUT
AA,7.798326415597273,15.509740680095959
AS,5.3282328944426,13.94084801008342
B6,5.661846884604638,17.30041998463258
DL,7.942276499940155,19.069113291208026
EV,6.737796194936931,14.754088181897941
F9,7.266317582486909,13.370803103905116
FL,7.232107333082755,13.36130948561161
HA,6.245746130699375,10.043152653523864
MQ,6.492900621380564,14.643800989136407
OO,6.361476052033489,15.213564902647647
UA,7.478703799565173,16.837850709183144
US,6.764388529249524,17.65463571981606
VX,8.234682693361586,13.933250520624018
WN,5.2748420697304335,10.312615570762844
YV,6.718128620051353,15.570326028542425
