State,Origin Count,STATE,Airport Count
CA,763357,CA,26
TX,710506,TX,25
FL,441368,FL,17
IL,412926,IL,8
GA,409726,GA,8
CO,265729,CO,11
NY,261528,NY,13
AZ,209700,AZ,4
NC,203218,NC,8
VA,186129,VA,9
NV,162205,NV,3
NJ,119875,NJ,3
PA,119553,PA,6
MN,114917,MN,8
WA,114420,WA,5
MO,113614,MO,5
MI,113150,MI,14
UT,112974,UT,5
HI,111782,HI,5
TN,108024,TN,5
MA,103689,MA,5
MD,103329,MD,1
OH,95604,OH,5
OR,67046,OR,6
LA,66800,LA,7
WI,58813,WI,8
KY,49821,KY,4
OK,42047,OK,3
IN,39391,IN,4
AK,38589,AK,19
AL,36580,AL,5
NM,33932,NM,4
SC,33482,SC,5
AR,31503,AR,4
PR,27733,PR,3
NE,22940,NE,3
CT,20977,CT,1
IA,18704,IA,5
ID,18272,ID,6
MT,16775,MT,8
MS,15584,MS,6
RI,13900,RI,1
ND,13098,ND,8
KS,12517,KS,5
SD,11908,SD,4
WY,10417,WY,7
NH,9200,NH,1
ME,6746,ME,2
VI,4681,VI,2
WV,4036,WV,3
VT,3942,VT,1
GU,369,GU,1
