State,Destination Count,STATE,Airport Count
CA,763379,CA,26
TX,710707,TX,25
FL,441421,FL,17
IL,412784,IL,8
GA,409664,GA,8
CO,265654,CO,11
NY,261534,NY,13
AZ,209701,AZ,4
NC,203206,NC,8
VA,186267,VA,9
NV,162204,NV,3
NJ,120559,NJ,3
PA,119547,PA,6
MN,114929,MN,8
WA,114429,WA,5
MO,113614,MO,5
MI,113120,MI,14
UT,112984,UT,5
HI,111786,HI,5
TN,108039,TN,5
MA,103686,MA,5
MD,103343,MD,1
OH,95597,OH,5
OR,67038,OR,6
LA,66809,LA,7
WI,58781,WI,8
KY,49818,KY,4
OK,42051,OK,3
IN,39390,IN,4
AK,38581,AK,19
AL,36584,AL,5
NM,33927,NM,4
SC,33496,SC,5
AR,31511,AR,4
PR,26933,PR,3
NE,22943,NE,3
CT,20972,CT,1
IA,18705,IA,5
ID,18263,ID,6
MT,16768,MT,8
MS,15582,MS,6
RI,13902,RI,1
ND,13098,ND,8
KS,12516,KS,5
SD,11904,SD,4
WY,10417,WY,7
NH,9199,NH,1
ME,6746,ME,2
VI,4682,VI,2
WV,4045,WV,3
VT,3942,VT,1
GU,366,GU,1
