Hour,Average Departure Delay
0.0,5.4771197846567965
1.0,4.7173799582463465
2.0,0.9894859813084113
3.0,0.6837294332723949
4.0,-0.8679817905918058
5.0,1.3855700125571082
6.0,1.3194161190422238
7.0,2.137583550371515
8.0,3.5744649184975197
9.0,4.401103650746188
10.0,5.573675633303078
11.0,5.902329236924835
12.0,7.212434005594549
13.0,8.285783546389732
14.0,9.735685396756386
15.0,10.421120050031133
16.0,11.134270472082974
17.0,12.13446525961716
18.0,12.673620784417503
19.0,12.780165573946386
20.0,12.87061984503874
21.0,12.13439008681489
22.0,7.982632101444084
23.0,7.6121096558407055
