OP_CARRIER,ARR_DELAY
F9,7.878893128319538
EV,7.293499136442142
AA,6.3980936961200605
UA,5.0905866997374245
B6,4.850821549029923
VX,4.032344666531821
OO,3.984630480677422
MQ,2.8843611547419163
WN,2.88242853663397
YV,1.3189085919198198
HA,0.3143563687467906
FL,-0.261874702294242
DL,-0.8013951954963665
US,-1.2418483766794157
AS,-1.9022483228375053
