,IATA,AIRPORT,STATE,State
293,ROA,Roanoke Regional  Woodrum ,VA,Virginia
294,ROC,Greater Rochester Int'l,NY,New York
295,ROW,Roswell Industrial Air Center,NM,New Mexico
296,RST,Rochester International,MN,Minnesota
297,SAF,Santa Fe Municipal,NM,New Mexico
298,SAV,Savannah International,GA,Georgia
299,SBA,Santa Barbara Municipal,CA,California
300,SBN,South Bend Regional,IN,Indiana
301,SBP,San Luis Obispo Co-McChesney ,CA,California
302,SCC,Deadhorse,AK,Alaska
303,SCE,University Park,,
304,SGF,Springfield-Branson Regional,MO,Missouri
305,SGU,St George Muni,UT,Utah
306,SHD,Shenandoah Valley Regional,VA,Virginia
307,SHV,Shreveport Regional,LA,Louisiana
308,SIT,Sitka,AK,Alaska
309,SJT,San Angelo Regional  Mathis ,TX,Texas
310,SMX,Santa Maria Pub Capt G Allan Hancock ,CA,California
311,SPI,Capital,IL,Illinois
312,SPN,Tinian International Airport,,
313,SPS,Sheppard AFB Wichita Falls Municipal,TX,Texas
314,SRQ,Sarasota Bradenton International,FL,Florida
315,STC,St Cloud Regional,MN,Minnesota
316,STT,Cyril E. King,VI,Virgin Islands
317,STX,Henry E. Rohlsen ,VI,Virgin Islands
318,SUN,Friedman Memorial,ID,Idaho
319,SUX,Sioux Gateway ,IA,Iowa
320,SWF,Stewart,NY,New York
321,SYR,Syracuse-Hancock Intl,NY,New York
322,TEX,Telluride Regional,CO,Colorado
323,TLH,Tallahassee Regional,FL,Florida
324,TOL,Toledo Express,OH,Ohio
325,TRI,Tri-Cities Regional,TN,Tennessee
326,TTN,Trenton-Mercer County ,NJ,New Jersey
327,TUP,Tupelo Municipal ,MS,Mississippi
328,TVC,Cherry Capital,MI,Michigan
329,TWF,Joslin Field - Magic Valley,ID,Idaho
330,TXK,Texarkana Regional-Webb ,AR,Arkansas
331,TYR,Tyler Pounds ,TX,Texas
332,TYS,McGhee-Tyson,TN,Tennessee
333,VEL,Vernal,UT,Utah
334,VLD,Valdosta Regional,GA,Georgia
335,VPS,Eglin Air Force Base,FL,Florida
336,WRG,Wrangell,AK,Alaska
337,WYS,Yellowstone,MT,Montana
338,XNA,Northwest Arkansas Regional,AR,Arkansas
339,YAK,Yakutat,AK,Alaska
340,YUM,Yuma MCAS-Yuma International,AZ,Arizona
