ORIGIN_STATE,Flight Count
AK,36395
AL,22285
AR,13871
AS,119
AZ,172628
CA,755337
CO,244856
CT,22211
FL,452773
GA,377288
GU,365
HI,104697
IA,13961
ID,22513
IL,362781
IN,40048
KS,9876
KY,34653
LA,66302
MA,127175
MD,101015
ME,6790
MI,157382
MN,142632
MO,105585
MS,9569
MT,17430
NC,162891
ND,10961
NE,22870
NH,6180
NJ,121631
NM,21609
NV,168151
NY,244368
OH,71211
OK,29440
OR,74109
PA,110109
PR,26897
RI,13755
SC,30447
SD,8332
TN,81934
TX,557534
UT,115337
VA,143040
VI,5254
VT,3274
WA,153388
WI,50878
WV,2011
WY,7549
