OP_CARRIER,TAXI_IN,TAXI_OUT
AA,9.251866462579265,18.55863570845252
AS,7.215126331942853,16.938233514167766
B6,6.639258138179968,17.507352990417004
DL,7.0663140456494435,17.218541296721384
EV,7.235102682739345,17.896418989164783
F9,10.120269443932173,15.820416007454357
HA,6.963328842987576,11.769059023100334
NK,8.913020189008915,14.568971674170058
OO,7.357902811923678,19.45597549704399
UA,7.941075928901025,18.406649660125822
VX,8.993237626970597,18.056705315506967
WN,5.939611597028533,12.200429653298672
