OP_CARRIER,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
AA,3.569124938082084,0.4552015511832458,2.8684740748013047,0.025809172330389537,3.9800055335650883
AS,2.1239166144336137,0.2973609700218298,2.8185910043875766,0.0414172088097348,2.578284738582575
B6,5.293309314457533,0.42338291132882866,4.91300300682395,0.04107428663269201,7.8817327074139305
DL,3.5568517475854304,0.7902486032309758,2.5040939408376284,0.009033522456581056,2.6489053228810255
EV,6.245761189370356,0.2874586574228149,3.9037288574870193,0.0,5.488712703325961
F9,3.324497461830394,0.1791472138371495,3.630135789647374,0.0,6.939637182486145
HA,2.7258394451928356,0.19131367559746545,0.09640522875816994,0.008357032380382177,1.8123783864690914
NK,2.8265250162608884,0.29659222793301787,6.688097029677715,0.03694728921424836,3.68190513844074
OO,5.05813365943552,0.6973632996332766,2.6269201318562487,0.012435476634297062,5.87316408290129
UA,2.87345183162498,0.46805456464795264,3.903420299376712,0.000923896585175566,4.355215995045177
VX,2.6681083670277963,0.4874262126484552,7.465476676857187,0.05619813752976149,5.998647525394119
WN,2.625954158279702,0.37732916918651704,1.6583195681803822,0.01728692596303417,4.993007603178472
