Hour,TAXI_IN,TAXI_OUT
0,7.7791570976351565,14.894419961516975
1,8.987019914651494,13.789651493598862
2,7.736009732360097,11.169099756690997
3,7.390625,10.74392361111111
4,8.441295546558704,11.32995951417004
5,7.478907526325154,14.1697830904356
6,8.160833213846024,15.897000291713844
7,8.425301577482214,16.568059949002798
8,7.504460541953275,17.79165101789876
9,7.075408259861891,17.65458975188365
10,7.089645180894666,16.7424875644818
11,7.149233178993752,16.65713949658904
12,7.217072749265595,15.974759518460917
13,7.311621193369061,16.006288161851817
14,7.405373452049381,15.746977393388187
15,7.283171511793935,16.64138728653835
16,7.514375368688288,16.45295151382253
17,7.703939428351102,16.984394930531163
18,7.606941405607761,17.090794116531132
19,7.271040916855489,16.752716947148127
20,6.765364468053711,16.875387339530764
21,6.45612710249497,15.624946165509348
22,6.129423764791829,15.92093564994452
23,7.0346128712662575,16.05156095195936
