ORIGIN,Average Departure Delay
ABE,12.06047619047619
ABI,21.21951219512195
ABQ,7.696223923950357
ABR,9.381944444444445
ABY,13.649837133550488
ACK,30.203732503888023
ACT,7.003021148036254
ACV,15.263707571801566
ACY,6.056958308866705
ADK,-2.3979591836734695
ADQ,-1.936241610738255
AEX,7.655919955530851
AGS,15.90861494526416
AKN,-4.809523809523809
ALB,8.833261432269198
ALO,13.1220556745182
AMA,3.9513912168957424
ANC,0.6254084967320261
APN,17.566006600660067
ASE,19.877658497062995
ATL,10.173861261607215
ATW,7.408594044477949
AUS,9.069017602974496
AVL,18.97534013605442
AVP,15.85813953488372
AZO,8.422859626249457
BDL,6.468403191782079
BET,-5.3886509635974305
BFL,4.9805375347544025
BGM,11.55568720379147
BGR,27.75234270414993
BHM,8.468014059753955
BIL,3.091511137868754
BIS,7.692719964269763
BJI,9.758620689655173
BLI,8.025387870239774
BMI,6.354869358669834
BNA,9.825774387000935
BOI,6.562535549516527
BOS,12.631966265609481
BPT,40.0
BQK,12.466960352422907
BQN,21.16908517350158
BRD,6.015723270440252
BRO,0.975095785440613
BRW,-3.923777019340159
BTM,7.554545454545455
BTR,13.335446953294154
BTV,16.51061133987963
BUF,9.85942436950652
BUR,9.120731608402952
BWI,9.264330665055631
BZN,7.169218372280419
CAE,7.90130007959671
CAK,9.497549019607844
CDC,3.0466237942122185
CDV,-4.761971830985916
CGI,9.020408163265307
CHA,16.947155499367888
CHO,18.07059916395727
CHS,10.955886692239599
CID,10.514395393474087
CIU,17.508371385083713
CKB,8.690909090909091
CLE,8.533039020222159
CLL,4.952749806351665
CLT,7.989016488672416
CMH,8.665720819922074
CMX,7.995588235294117
COD,1.1997828447339849
COS,10.263117621337997
COU,4.640065146579804
CPR,-3.3100871731008716
CRP,5.2569683085147005
CRW,11.49592252803262
CSG,11.145833333333334
CVG,9.479862343388719
CWA,10.043362831858406
DAB,7.207719654647029
DAL,11.562159484893511
DAY,8.832343946753014
DCA,8.447809463774274
DEN,8.74548651817116
DFW,10.233043526723513
DHN,10.11389337641357
DLG,-5.285714285714286
DLH,11.139423076923077
DRO,2.8427139552814187
DSM,8.405709342560554
DTW,9.539583997449792
DVL,8.227953410981698
EAU,5.831325301204819
ECP,7.218406593406593
EGE,19.43818580833943
EKO,5.396630934150076
ELM,17.179411764705883
ELP,8.431476816867246
ERI,3.961564396493594
ESC,16.82314049586777
EUG,10.806419004296185
EVV,7.504367816091954
EWN,10.061224489795919
EWR,15.591765798434528
EYW,10.792828685258964
FAI,0.10131147540983607
FAR,6.339150477444847
FAT,9.617668356263577
FAY,12.565424266455194
FCA,5.882210568777733
FLG,1.2051868802440884
FLL,14.0463246947222
FNT,9.327912621359223
FSD,9.623122439690487
FSM,8.382874015748031
FWA,14.272211027660743
GCC,4.692
GCK,7.441988950276243
GEG,4.470968297725706
GFK,3.2594553706505294
GGG,58.833333333333336
GJT,-0.2895348837209302
GNV,14.351239669421487
GPT,7.107592190889371
GRB,6.216119828815978
GRI,5.890282131661442
GRK,12.18194640338505
GRR,8.420837209302325
GSO,10.912061685331375
GSP,10.671536362176914
GST,-2.2375
GTF,2.5648614609571787
GTR,7.617834394904459
GUC,9.975757575757576
GUM,13.601648351648352
HDN,14.25236593059937
HIB,1.1208459214501512
HLN,4.641408114558472
HNL,2.836044822577298
HOB,-0.9168026101141925
HOU,11.11105413105413
HPN,13.969407844918976
HRL,9.131535947712418
HSV,5.481971465629053
HYA,17.182795698924732
HYS,4.960461285008237
IAD,9.480065897858319
IAG,15.16039603960396
IAH,7.60000636046336
ICT,6.4423076923076925
IDA,3.3665271966527195
IFP,8.344827586206897
ILM,7.315585672797677
IMT,13.495508982035927
IND,7.855583386294815
INL,0.37439222042139386
ISN,5.854219948849105
ISP,10.144554841223457
ITH,10.371891891891892
ITO,0.33033082214215526
JAC,12.975701475267574
JAN,5.199455411844792
JAX,9.5704330216213
JFK,15.19238546295996
JLN,8.574468085106384
JMS,4.235607675906183
JNU,-0.3622658748286889
KOA,2.4468132356206973
KTN,-1.263575605680869
LAN,7.024135156878519
LAR,5.594728171334432
LAS,10.602710034307599
LAW,14.532281205164994
LAX,12.209399071871099
LBB,6.821402920756523
LBE,4.0789220404234845
LCH,4.720538720538721
LEX,13.311405216037368
LFT,8.087007874015748
LGA,14.676561047926716
LGB,8.645624191661021
LIH,2.5433605431180797
LIT,7.182817050569235
